attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,132863,1200
1,5585,6149
2,5217,5438
3,6295,5095
4,5389,5659
5,5242,5365
6,5315,5291
7,5364,5266
8,5217,5340
9,5217,5242
10,5903,5830
11,5536,5487
12,5291,5340
13,5928,5952
14,5806,5266
15,5708,5805
16,6737,6320
17,5340,6149
18,5217,5291
19,5291,4507
20,5267,5315
21,5953,5928
22,5316,5291
23,5218,5218
24,5267,5242
25,5218,5242
26,5340,5340
27,5242,4532
28,5365,5316
29,5953,5953
30,5242,5242
31,6540,5340
32,5560,6712
33,6859,5683
34,4629,5536
35,7226,6761
36,5291,5267
37,5928,5977
38,5291,5266
39,5217,5242
40,5242,5242
41,5316,5291
42,5267,5291
43,5438,4580
44,6197,6050
45,6295,6467
46,5732,5683
47,5463,5438
48,5585,5609
49,5560,5536
50,5266,5316
51,5364,4556
52,5242,5218
53,5977,6002
54,5266,5242
55,5242,5218
56,5316,5266
57,5340,5365
58,5315,5267
59,5193,4507
60,5389,5242
61,6222,6222
62,5242,5365
63,5536,5463
64,5438,5512
65,5561,5512
66,5316,5291
67,5365,4630
68,5414,5389
69,6026,6026
70,5316,5316
71,5242,5242
72,5315,5315
73,5364,5340
74,5291,5291
75,5340,4556
76,5217,5242
77,5977,5977
78,5218,5169
79,5365,5315
80,5316,5291
81,5291,5315
82,5340,5315
83,5830,4581
84,5364,5855
85,7790,6100
86,5316,7006
87,5218,5267
88,5316,5193
89,5242,5316
90,5340,5291
91,5193,4532
92,5340,5242
93,6100,6075
94,5267,5316
95,5267,5242
96,5242,5266
97,5291,5218
98,5561,5487
99,5953,4409
100,5928,5536
101,6099,6540
102,5585,5609
103,5316,5291
104,5169,5193
105,5291,5266
106,5242,5242
107,5315,4483
108,5193,5291
109,5953,5928
110,5316,5242
111,5365,5340
112,5291,5267
113,5217,5242
114,5340,5340
115,5242,4458
116,5364,5340
117,6099,6100
118,5266,5340
119,5291,5242
120,5242,5291
121,5291,5242
122,5217,5242
123,5315,4507
124,5242,5242
125,6051,6002
126,5267,5267
127,5193,5242
128,5364,5291
129,5266,5315
130,5364,5291
131,5266,4531
132,5291,5291
133,6051,6051
134,5267,5266
135,5291,5266
136,5266,5291
137,5340,5291
138,5267,5315
139,5291,4458
140,5193,5242
141,5977,5977
142,5340,5291
143,5267,5267
144,5291,5266
145,5266,5291
146,5266,5242
147,5168,4384
148,5364,5267
149,6026,6051
150,5242,5267
151,5364,5316
152,5242,5315
153,5315,5291
154,5266,5267
155,5242,4409
156,5242,5267
157,6026,6001
158,5242,5217
159,5266,5266
160,5315,5291
161,5242,5316
162,5291,5242
163,5267,4556
164,5316,5267
165,6051,6026
166,5291,5340
167,5291,5242
168,5316,5340
169,5291,5266
170,5291,5316
171,5340,4532
172,5217,5242
173,5977,5952
174,5389,5315
175,5242,5340
176,5340,5266
177,5193,5266
178,5242,5193
179,5242,4531
180,5315,5218
181,6050,6050
182,5291,5291
183,5291,5266
184,5291,5315
185,5291,5267
186,5291,5340
187,5291,4458
188,5340,5316
189,5977,5977
190,5267,5217
191,5340,5389
192,5291,5267
193,5242,5316
194,5315,5242
195,5266,4532
196,5315,5267
197,6075,6075
198,5242,5267
199,5291,5242
200,5340,5365
201,5291,5267
202,5291,5316
203,5291,4483
204,5193,5217
205,6002,6001
206,5316,5266
207,5267,5315
208,5291,5267
209,5267,5316
210,5291,5242
211,5242,4532
212,5291,5217
213,5953,5953
214,5291,5291
215,5242,5242
216,5267,5291
217,5315,5340
218,5267,5291
219,5291,4458
220,5242,5266
221,5953,5928
222,5218,5193
223,5365,5316
224,5193,5193
225,5242,5266
226,5242,5242
227,5315,4532
228,5364,5316
229,5952,6002
230,5266,5267
231,5291,5266
232,5291,5315
233,5242,5266
234,5315,5266
235,5291,4507
236,5291,5291
237,6099,6075
238,5242,5242
239,5291,5316
240,5316,5266
241,5267,5267
242,5316,5291
243,5267,4531
244,5267,5242
