thread_1_core,thread_2_core,avg_round_time_nano
0,1,175
0,2,174
0,3,167
0,4,630
0,5,569
0,6,560
0,7,607
0,8,633
0,9,614
0,10,599
0,11,586
0,12,618
0,13,616
0,14,600
0,15,588
0,16,561
0,17,558
0,18,562
0,19,554
0,20,557
0,21,562
0,22,560
0,23,558
0,24,646
0,25,648
0,26,637
0,27,635
0,28,644
0,29,649
0,30,637
0,31,639
0,32,631
0,33,631
0,34,649
0,35,642
0,36,638
0,37,641
0,38,642
0,39,650
0,40,634
0,41,636
0,42,636
0,43,645
0,44,642
0,45,637
0,46,640
0,47,643
0,48,84
0,49,173
0,50,171
0,51,167
0,52,616
0,53,621
0,54,608
0,55,597
0,56,608
0,57,608
0,58,600
0,59,585
0,60,611
0,61,608
0,62,601
0,63,586
0,64,557
0,65,562
0,66,560
0,67,554
0,68,557
0,69,562
0,70,557
0,71,549
0,72,642
0,73,648
0,74,631
0,75,636
0,76,642
0,77,647
0,78,631
0,79,634
0,80,629
0,81,637
0,82,642
0,83,635
0,84,633
0,85,633
0,86,643
0,87,642
0,88,631
0,89,642
0,90,643
0,91,636
0,92,628
0,93,623
0,94,639
0,95,635
1,0,175
1,2,167
1,3,161
1,4,632
1,5,632
1,6,632
1,7,631
1,8,630
1,9,628
1,10,627
1,11,627
1,12,630
1,13,630
1,14,628
1,15,624
1,16,643
1,17,643
1,18,636
1,19,630
1,20,645
1,21,642
1,22,634
1,23,628
1,24,648
1,25,644
1,26,644
1,27,637
1,28,644
1,29,637
1,30,641
1,31,641
1,32,741
1,33,733
1,34,743
1,35,735
1,36,738
1,37,734
1,38,741
1,39,735
1,40,739
1,41,733
1,42,742
1,43,734
1,44,738
1,45,733
1,46,744
1,47,734
1,48,173
1,49,84
1,50,164
1,51,160
1,52,633
1,53,632
1,54,631
1,55,631
1,56,630
1,57,628
1,58,628
1,59,625
1,60,631
1,61,630
1,62,629
1,63,626
1,64,646
1,65,639
1,66,630
1,67,623
1,68,641
1,69,638
1,70,634
1,71,625
1,72,639
1,73,641
1,74,629
1,75,634
1,76,635
1,77,642
1,78,635
1,79,635
1,80,741
1,81,735
1,82,744
1,83,735
1,84,740
1,85,736
1,86,743
1,87,734
1,88,738
1,89,734
1,90,742
1,91,735
1,92,738
1,93,734
1,94,742
1,95,736
2,0,174
2,1,165
2,3,161
2,4,609
2,5,609
2,6,588
2,7,575
2,8,599
2,9,596
2,10,587
2,11,569
2,12,600
2,13,594
2,14,586
2,15,567
2,16,551
2,17,554
2,18,548
2,19,547
2,20,552
2,21,568
2,22,542
2,23,540
2,24,640
2,25,653
2,26,644
2,27,639
2,28,636
2,29,651
2,30,638
2,31,641
2,32,635
2,33,647
2,34,649
2,35,625
2,36,653
2,37,649
2,38,656
2,39,632
2,40,641
2,41,646
2,42,650
2,43,637
2,44,650
2,45,652
2,46,649
2,47,641
2,48,174
2,49,165
2,50,84
2,51,161
2,52,609
2,53,608
2,54,589
2,55,573
2,56,599
2,57,592
2,58,584
2,59,563
2,60,595
2,61,593
2,62,585
2,63,564
2,64,547
2,65,558
2,66,545
2,67,541
2,68,554
2,69,559
2,70,539
2,71,538
2,72,632
2,73,648
2,74,634
2,75,637
2,76,635
2,77,652
2,78,637
2,79,639
2,80,641
2,81,650
2,82,644
2,83,629
2,84,641
2,85,648
2,86,643
2,87,631
2,88,634
2,89,641
2,90,649
2,91,632
2,92,643
2,93,642
2,94,642
2,95,628
3,0,167
3,1,160
3,2,160
3,4,630
3,5,631
3,6,631
3,7,630
3,8,628
3,9,627
3,10,630
3,11,627
3,12,629
3,13,629
3,14,628
3,15,627
3,16,630
3,17,633
3,18,624
3,19,625
3,20,636
3,21,634
3,22,621
3,23,625
3,24,650
3,25,644
3,26,636
3,27,640
3,28,641
3,29,636
3,30,624
3,31,639
3,32,736
3,33,730
3,34,735
3,35,732
3,36,734
3,37,731
3,38,735
3,39,733
3,40,738
3,41,733
3,42,735
3,43,734
3,44,735
3,45,731
3,46,735
3,47,735
3,48,167
3,49,159
3,50,160
3,51,84
3,52,630
3,53,633
3,54,631
3,55,630
3,56,627
3,57,630
3,58,630
3,59,627
3,60,630
3,61,628
3,62,631
3,63,624
3,64,631
3,65,632
3,66,619
3,67,622
3,68,629
3,69,630
3,70,618
3,71,621
3,72,636
3,73,640
3,74,624
3,75,635
3,76,633
3,77,635
3,78,625
3,79,634
3,80,735
3,81,731
3,82,734
3,83,733
3,84,735
3,85,731
3,86,733
3,87,733
3,88,737
3,89,732
3,90,734
3,91,735
3,92,735
3,93,732
3,94,735
3,95,734
4,0,625
4,1,620
4,2,609
4,3,603
4,5,173
4,6,171
4,7,166
4,8,612
4,9,607
4,10,601
4,11,585
4,12,609
4,13,606
4,14,599
4,15,585
4,16,560
4,17,561
4,18,561
4,19,553
4,20,559
4,21,564
4,22,556
4,23,556
4,24,646
4,25,654
4,26,638
4,27,634
4,28,647
4,29,649
4,30,635
4,31,641
4,32,631
4,33,631
4,34,648
4,35,638
4,36,647
4,37,647
4,38,648
4,39,644
4,40,640
4,41,639
4,42,642
4,43,644
4,44,652
4,45,640
4,46,639
4,47,646
4,48,615
4,49,619
4,50,609
4,51,594
4,52,84
4,53,173
4,54,171
4,55,165
4,56,611
4,57,606
4,58,599
4,59,582
4,60,610
4,61,607
4,62,599
4,63,584
4,64,558
4,65,555
4,66,558
4,67,549
4,68,563
4,69,559
4,70,551
4,71,549
4,72,641
4,73,648
4,74,635
4,75,631
4,76,642
4,77,648
4,78,632
4,79,637
4,80,634
4,81,632
4,82,645
4,83,639
4,84,634
4,85,639
4,86,635
4,87,638
4,88,631
4,89,630
4,90,642
4,91,634
4,92,642
4,93,628
4,94,637
4,95,637
5,0,628
5,1,629
5,2,632
5,3,631
5,4,173
5,6,166
5,7,161
5,8,630
5,9,630
5,10,627
5,11,624
5,12,630
5,13,630
5,14,628
5,15,625
5,16,648
5,17,639
5,18,636
5,19,629
5,20,646
5,21,643
5,22,634
5,23,629
5,24,645
5,25,646
5,26,634
5,27,634
5,28,645
5,29,638
5,30,633
5,31,642
5,32,741
5,33,736
5,34,742
5,35,735
5,36,739
5,37,735
5,38,742
5,39,736
5,40,740
5,41,735
5,42,744
5,43,735
5,44,739
5,45,733
5,46,743
5,47,735
5,48,633
5,49,634
5,50,632
5,51,630
5,52,173
5,53,84
5,54,165
5,55,162
5,56,630
5,57,629
5,58,627
5,59,625
5,60,629
5,61,623
5,62,626
5,63,625
5,64,647
5,65,641
5,66,632
5,67,625
5,68,644
5,69,642
5,70,635
5,71,624
5,72,640
5,73,637
5,74,632
5,75,634
5,76,633
5,77,638
5,78,627
5,79,632
5,80,741
5,81,735
5,82,742
5,83,735
5,84,739
5,85,736
5,86,743
5,87,735
5,88,742
5,89,736
5,90,744
5,91,736
5,92,740
5,93,736
5,94,743
5,95,733
6,0,611
6,1,609
6,2,589
6,3,577
6,4,172
6,5,166
6,7,160
6,8,601
6,9,595
6,10,585
6,11,571
6,12,601
6,13,593
6,14,585
6,15,568
6,16,549
6,17,559
6,18,554
6,19,544
6,20,555
6,21,564
6,22,545
6,23,551
6,24,634
6,25,652
6,26,646
6,27,636
6,28,639
6,29,651
6,30,639
6,31,646
6,32,643
6,33,647
6,34,647
6,35,629
6,36,658
6,37,660
6,38,651
6,39,637
6,40,637
6,41,648
6,42,643
6,43,637
6,44,647
6,45,648
6,46,643
6,47,637
6,48,610
6,49,610
6,50,590
6,51,575
6,52,173
6,53,165
6,54,83
6,55,159
6,56,597
6,57,592
6,58,580
6,59,564
6,60,599
6,61,594
6,62,585
6,63,563
6,64,555
6,65,561
6,66,542
6,67,544
6,68,557
6,69,558
6,70,542
6,71,540
6,72,629
6,73,649
6,74,638
6,75,636
6,76,635
6,77,650
6,78,639
6,79,636
6,80,642
6,81,647
6,82,643
6,83,633
6,84,644
6,85,646
6,86,643
6,87,637
6,88,642
6,89,640
6,90,643
6,91,625
6,92,642
6,93,640
6,94,640
6,95,628
7,0,633
7,1,631
7,2,631
7,3,628
7,4,165
7,5,160
7,6,161
7,8,629
7,9,628
7,10,630
7,11,628
7,12,629
7,13,630
7,14,628
7,15,627
7,16,629
7,17,627
7,18,619
7,19,623
7,20,628
7,21,636
7,22,621
7,23,626
7,24,646
7,25,639
7,26,635
7,27,636
7,28,644
7,29,637
7,30,631
7,31,645
7,32,736
7,33,733
7,34,736
7,35,734
7,36,735
7,37,731
7,38,734
7,39,734
7,40,736
7,41,732
7,42,733
7,43,735
7,44,734
7,45,732
7,46,736
7,47,735
7,48,632
7,49,633
7,50,632
7,51,631
7,52,165
7,53,160
7,54,161
7,55,84
7,56,630
7,57,630
7,58,630
7,59,628
7,60,630
7,61,629
7,62,630
7,63,627
7,64,628
7,65,632
7,66,616
7,67,623
7,68,627
7,69,630
7,70,616
7,71,624
7,72,633
7,73,634
7,74,623
7,75,636
7,76,630
7,77,637
7,78,622
7,79,634
7,80,737
7,81,732
7,82,734
7,83,736
7,84,733
7,85,732
7,86,733
7,87,733
7,88,733
7,89,731
7,90,735
7,91,735
7,92,735
7,93,733
7,94,736
7,95,734
8,0,615
8,1,611
8,2,601
8,3,599
8,4,614
8,5,613
8,6,600
8,7,593
8,9,173
8,10,170
8,11,166
8,12,620
8,13,621
8,14,611
8,15,599
8,16,561
8,17,563
8,18,562
8,19,564
8,20,560
8,21,572
8,22,565
8,23,563
8,24,667
8,25,657
8,26,637
8,27,631
8,28,669
8,29,652
8,30,634
8,31,632
8,32,654
8,33,632
8,34,657
8,35,632
8,36,656
8,37,648
8,38,654
8,39,637
8,40,658
8,41,630
8,42,652
8,43,645
8,44,663
8,45,642
8,46,658
8,47,642
8,48,612
8,49,611
8,50,600
8,51,593
8,52,614
8,53,612
8,54,604
8,55,593
8,56,84
8,57,173
8,58,171
8,59,165
8,60,620
8,61,621
8,62,612
8,63,596
8,64,560
8,65,567
8,66,562
8,67,551
8,68,561
8,69,568
8,70,557
8,71,553
8,72,662
8,73,653
8,74,627
8,75,631
8,76,662
8,77,654
8,78,630
8,79,636
8,80,657
8,81,633
8,82,654
8,83,641
8,84,652
8,85,629
8,86,653
8,87,640
8,88,652
8,89,635
8,90,652
8,91,631
8,92,653
8,93,631
8,94,643
8,95,638
9,0,628
9,1,627
9,2,627
9,3,624
9,4,630
9,5,630
9,6,630
9,7,626
9,8,172
9,10,165
9,11,160
9,12,637
9,13,638
9,14,636
9,15,635
9,16,636
9,17,640
9,18,628
9,19,624
9,20,638
9,21,643
9,22,627
9,23,625
9,24,654
9,25,657
9,26,642
9,27,638
9,28,648
9,29,647
9,30,631
9,31,641
9,32,731
9,33,729
9,34,730
9,35,734
9,36,733
9,37,732
9,38,733
9,39,735
9,40,733
9,41,731
9,42,732
9,43,734
9,44,731
9,45,731
9,46,731
9,47,735
9,48,631
9,49,631
9,50,630
9,51,628
9,52,632
9,53,629
9,54,630
9,55,627
9,56,172
9,57,84
9,58,167
9,59,160
9,60,638
9,61,639
9,62,637
9,63,633
9,64,636
9,65,639
9,66,630
9,67,623
9,68,634
9,69,645
9,70,626
9,71,624
9,72,644
9,73,650
9,74,633
9,75,637
9,76,641
9,77,649
9,78,629
9,79,640
9,80,731
9,81,730
9,82,729
9,83,733
9,84,731
9,85,729
9,86,731
9,87,735
9,88,731
9,89,731
9,90,731
9,91,734
9,92,731
9,93,730
9,94,730
9,95,733
10,0,598
10,1,599
10,2,586
10,3,570
10,4,597
10,5,598
10,6,586
10,7,567
10,8,173
10,9,164
10,11,161
10,12,612
10,13,607
10,14,588
10,15,579
10,16,549
10,17,555
10,18,553
10,19,538
10,20,561
10,21,555
10,22,550
10,23,546
10,24,655
10,25,655
10,26,641
10,27,642
10,28,652
10,29,655
10,30,636
10,31,646
10,32,652
10,33,645
10,34,639
10,35,641
10,36,660
10,37,659
10,38,649
10,39,638
10,40,656
10,41,647
10,42,636
10,43,641
10,44,658
10,45,651
10,46,644
10,47,630
10,48,596
10,49,595
10,50,583
10,51,567
10,52,594
10,53,597
10,54,586
10,55,563
10,56,173
10,57,165
10,58,84
10,59,160
10,60,611
10,61,605
10,62,591
10,63,575
10,64,554
10,65,558
10,66,545
10,67,537
10,68,556
10,69,555
10,70,543
10,71,539
10,72,637
10,73,650
10,74,631
10,75,643
10,76,647
10,77,652
10,78,633
10,79,641
10,80,658
10,81,654
10,82,644
10,83,632
10,84,654
10,85,644
10,86,643
10,87,634
10,88,656
10,89,646
10,90,650
10,91,626
10,92,654
10,93,645
10,94,643
10,95,630
11,0,629
11,1,629
11,2,629
11,3,630
11,4,630
11,5,630
11,6,629
11,7,631
11,8,165
11,9,159
11,10,160
11,12,638
11,13,639
11,14,642
11,15,632
11,16,631
11,17,633
11,18,621
11,19,623
11,20,628
11,21,632
11,22,620
11,23,626
11,24,634
11,25,638
11,26,622
11,27,645
11,28,638
11,29,634
11,30,620
11,31,645
11,32,730
11,33,737
11,34,734
11,35,740
11,36,728
11,37,736
11,38,731
11,39,740
11,40,730
11,41,735
11,42,730
11,43,739
11,44,727
11,45,735
11,46,731
11,47,738
11,48,629
11,49,629
11,50,629
11,51,629
