thread_1_core,thread_2_core,period_1,period_2
0,1,0.357675,0.357893
0,2,0.357903,0.357904
0,3,0.357880,0.357897
0,4,0.357303,0.357333
0,5,0.357327,0.357346
0,6,0.357320,0.357338
0,7,0.357317,0.357335
0,8,0.357331,0.357329
0,9,0.357339,0.357339
0,10,0.357322,0.357341
0,11,0.357300,0.357331
0,12,0.357306,0.357336
0,13,0.357324,0.357339
0,14,0.357328,0.357341
0,15,0.357312,0.357329
0,16,0.357332,0.357350
0,17,0.357323,0.357322
0,18,0.357317,0.357339
0,19,0.357317,0.357333
0,20,0.357317,0.357350
0,21,0.357317,0.357342
0,22,0.357302,0.357338
0,23,0.357310,0.357330
0,24,0.357314,0.357332
0,25,0.357308,0.357324
0,26,0.357311,0.357329
0,27,0.357327,0.357327
0,28,0.357304,0.357335
0,29,0.357306,0.357336
0,30,0.357304,0.357331
0,31,0.357316,0.357334
0,32,0.357297,0.357310
0,33,0.357286,0.357313
0,34,0.357296,0.357321
0,35,0.357302,0.357314
0,36,0.357295,0.357314
0,37,0.357273,0.357313
0,38,0.357298,0.357320
0,39,0.357293,0.357313
0,40,0.357298,0.357313
0,41,0.357274,0.357313
0,42,0.357302,0.357322
0,43,0.357288,0.357310
0,44,0.357294,0.357311
0,45,0.357290,0.357312
0,46,0.357304,0.357320
0,47,0.357291,0.357317
0,48,0.358361,0.358362
0,49,0.357898,0.357897
0,50,0.357805,0.357908
0,51,0.357907,0.357908
0,52,0.357298,0.357332
0,53,0.357312,0.357336
0,54,0.357321,0.357349
0,55,0.357309,0.357328
0,56,0.357323,0.357335
0,57,0.357280,0.357334
0,58,0.357320,0.357356
0,59,0.357312,0.357324
0,60,0.357323,0.357340
0,61,0.357320,0.357350
0,62,0.357324,0.357344
0,63,0.357286,0.357329
0,64,0.357350,0.357344
0,65,0.357303,0.357331
0,66,0.357314,0.357330
0,67,0.357299,0.357327
0,68,0.357294,0.357322
0,69,0.357311,0.357333
0,70,0.357312,0.357338
0,71,0.357311,0.357327
0,72,0.357313,0.357335
0,73,0.357313,0.357329
0,74,0.357299,0.357327
0,75,0.357327,0.357327
0,76,0.357319,0.357335
0,77,0.357315,0.357330
0,78,0.357293,0.357335
0,79,0.357298,0.357332
0,80,0.357284,0.357321
0,81,0.357293,0.357313
0,82,0.357303,0.357318
0,83,0.357292,0.357319
0,84,0.357309,0.357324
0,85,0.357300,0.357326
0,86,0.357305,0.357321
0,87,0.357290,0.357316
0,88,0.357293,0.357312
0,89,0.357283,0.357312
0,90,0.357304,0.357315
0,91,0.357290,0.357315
0,92,0.357295,0.357313
0,93,0.357285,0.357314
0,94,0.357304,0.357315
0,95,0.357304,0.357314
