thread_1_core,thread_2_core,period_1,period_2
0,1,0.294568,0.294582
0,2,0.294594,0.294594
0,3,0.294590,0.294589
0,4,0.294596,0.294597
0,5,0.294548,0.294571
0,6,0.294599,0.294600
0,7,0.294616,0.294616
0,8,0.294268,0.294269
0,9,0.294273,0.294273
0,10,0.294273,0.294224
0,11,0.294262,0.294268
0,12,0.294264,0.294272
0,13,0.294273,0.294272
0,14,0.294265,0.294272
0,15,0.294273,0.294272
0,16,0.295152,0.295177
0,17,0.294575,0.294581
0,18,0.294592,0.294586
0,19,0.294546,0.294565
0,20,0.294587,0.294579
0,21,0.294577,0.294578
0,22,0.294600,0.294600
0,23,0.294620,0.294620
0,24,0.294273,0.294272
0,25,0.294273,0.294272
0,26,0.294269,0.294275
0,27,0.294273,0.294268
0,28,0.294264,0.294272
0,29,0.294264,0.294272
0,30,0.294275,0.294273
0,31,0.294262,0.294274
