test_type,num_pairs,thread_id,result,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
inter_ccx,1,0,8.09033e+06,TX,-,-,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,1,1,8.01628e+06,-,TX,-,-,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,1,2,8.3087e+06,-,-,TX,-,-,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,1,3,1.24537e+07,-,-,-,TX,-,-,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,1,4,8.9406e+06,-,-,-,-,TX,-,-,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,1,5,8.21433e+06,-,-,-,-,-,TX,-,-,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,1,6,1.41207e+07,-,-,-,-,-,-,TX,-,-,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,1,7,8.96627e+06,-,-,-,-,-,-,-,TX,-,-,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,0,7.46833e+06,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,1,7.96001e+06,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,1,8.12926e+06,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,2,8.64291e+06,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,2,9.03087e+06,-,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,3,8.82054e+06,-,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,3,8.25864e+06,-,-,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,4,7.95406e+06,-,-,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,4,8.57777e+06,-,-,-,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,5,8.89041e+06,-,-,-,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,5,9.89128e+06,-,-,-,-,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,6,9.56867e+06,-,-,-,-,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,6,8.64188e+06,-,-,-,-,-,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,7,1.1462e+07,-,-,-,-,-,-,TX,TX,-,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,7,9.77401e+06,TX,-,-,-,-,-,-,TX,RX,-,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,2,0,8.05349e+06,TX,-,-,-,-,-,-,TX,RX,-,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,0,8.58056e+06,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,1,1.09484e+07,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,2,8.3877e+06,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,1,8.69358e+06,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,2,8.05963e+06,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,3,8.82607e+06,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,2,7.9485e+06,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,3,1.09272e+07,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,4,1.10823e+07,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,3,8.85049e+06,-,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,4,1.11249e+07,-,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,5,8.20462e+06,-,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,4,8.8219e+06,-,-,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,5,9.97141e+06,-,-,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,6,8.57885e+06,-,-,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,5,9.42052e+06,-,-,-,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,6,1.10869e+07,-,-,-,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,7,9.99241e+06,-,-,-,-,-,TX,TX,TX,-,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,6,9.12149e+06,TX,-,-,-,-,-,TX,TX,RX,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,7,8.49149e+06,TX,-,-,-,-,-,TX,TX,RX,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,0,8.59872e+06,TX,-,-,-,-,-,TX,TX,RX,-,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,7,8.78933e+06,TX,TX,-,-,-,-,-,TX,RX,RX,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,0,8.05025e+06,TX,TX,-,-,-,-,-,TX,RX,RX,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,3,1,8.37478e+06,TX,TX,-,-,-,-,-,TX,RX,RX,-,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,0,8.8917e+06,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,1,8.11478e+06,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,2,9.20409e+06,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,3,9.76808e+06,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,1,9.12154e+06,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,2,9.3416e+06,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,3,9.69153e+06,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,4,8.65527e+06,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,2,8.28375e+06,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,3,8.58189e+06,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,4,8.62108e+06,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,5,9.28252e+06,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,3,8.4921e+06,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,4,9.1291e+06,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,5,9.21168e+06,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,6,9.0387e+06,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,4,9.49085e+06,-,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,5,9.12363e+06,-,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
