thread_1_core,thread_2_core,avg_round_time_nano
0,1,375
0,2,372
0,3,368
0,4,404
0,5,398
0,6,382
0,7,385
0,8,377
0,9,379
0,10,413
0,11,414
0,12,397
0,13,396
0,14,393
0,15,393
0,16,382
0,17,382
0,18,368
0,19,368
0,20,399
0,21,399
0,22,388
0,23,387
0,24,377
0,25,377
0,26,413
0,27,413
0,28,402
0,29,402
0,30,389
0,31,389
0,32,444
0,33,444
0,34,439
0,35,439
0,36,444
0,37,444
0,38,426
0,39,425
0,40,422
0,41,422
0,42,428
0,43,428
0,44,410
0,45,410
0,46,408
0,47,408
0,48,450
0,49,450
0,50,439
0,51,439
0,52,443
0,53,444
0,54,432
0,55,432
0,56,421
0,57,421
0,58,427
0,59,427
0,60,416
0,61,416
0,62,406
0,63,406
1,0,377
1,2,374
1,3,374
1,4,403
1,5,403
1,6,385
1,7,385
1,8,380
1,9,380
1,10,415
1,11,415
1,12,398
1,13,398
1,14,393
1,15,393
1,16,382
1,17,382
1,18,368
1,19,368
1,20,400
1,21,399
1,22,388
1,23,387
1,24,377
1,25,377
1,26,413
1,27,413
1,28,402
1,29,402
1,30,390
1,31,390
1,32,444
1,33,444
1,34,439
1,35,439
1,36,444
1,37,444
1,38,426
1,39,426
1,40,422
1,41,422
1,42,428
1,43,428
1,44,410
1,45,410
1,46,408
1,47,408
1,48,450
1,49,450
1,50,439
1,51,439
1,52,443
1,53,443
1,54,432
1,55,432
1,56,421
1,57,421
1,58,427
1,59,427
1,60,416
1,61,415
1,62,406
1,63,406
2,0,375
2,1,374
2,3,356
2,4,397
2,5,397
2,6,380
2,7,380
2,8,363
2,9,363
2,10,410
2,11,410
2,12,393
2,13,393
2,14,376
2,15,376
2,16,365
2,17,365
2,18,353
2,19,352
2,20,383
2,21,383
2,22,372
2,23,372
2,24,360
2,25,360
2,26,397
2,27,397
2,28,387
2,29,387
2,30,375
2,31,375
2,32,439
2,33,439
2,34,424
2,35,424
2,36,439
2,37,439
2,38,421
2,39,421
2,40,407
2,41,407
2,42,424
2,43,424
2,44,407
2,45,408
2,46,390
2,47,391
2,48,434
2,49,433
2,50,422
2,51,422
2,52,426
2,53,426
2,54,416
2,55,416
2,56,405
2,57,405
2,58,412
2,59,412
2,60,399
2,61,399
2,62,388
2,63,388
3,0,375
3,1,375
3,2,356
3,4,397
3,5,397
3,6,380
3,7,380
3,8,363
3,9,363
3,10,410
3,11,410
3,12,393
3,13,393
3,14,376
