thread_1_core,thread_2_core,period_1,period_2
0,1,0.333542,0.333566
0,2,0.333579,0.333576
0,3,0.333574,0.333571
0,4,0.333548,0.333567
0,5,0.333573,0.333573
0,6,0.333559,0.333575
0,7,0.333551,0.333575
0,8,0.333578,0.333575
0,9,0.333547,0.333561
0,10,0.333557,0.333568
0,11,0.333574,0.333570
0,12,0.333525,0.333571
0,13,0.333546,0.333567
0,14,0.333569,0.333566
0,15,0.333550,0.333571
0,16,0.333574,0.333574
0,17,0.333545,0.333571
0,18,0.333402,0.333420
0,19,0.333400,0.333418
0,20,0.333408,0.333422
0,21,0.333411,0.333419
0,22,0.333410,0.333417
0,23,0.333415,0.333423
0,24,0.333415,0.333422
0,25,0.333409,0.333420
0,26,0.333410,0.333420
0,27,0.333411,0.333421
0,28,0.333415,0.333424
0,29,0.333412,0.333420
0,30,0.333411,0.333417
0,31,0.333409,0.333418
0,32,0.333412,0.333421
0,33,0.333411,0.333421
0,34,0.333415,0.333421
0,35,0.333409,0.333419
0,36,0.334402,0.334441
0,37,0.333561,0.333572
0,38,0.333547,0.333575
0,39,0.333558,0.333569
0,40,0.333571,0.333571
0,41,0.333544,0.333566
0,42,0.333570,0.333535
0,43,0.333573,0.333570
0,44,0.333537,0.333568
0,45,0.333570,0.333538
0,46,0.333540,0.333569
0,47,0.333523,0.333566
0,48,0.333544,0.333565
0,49,0.333542,0.333569
0,50,0.333519,0.333568
0,51,0.333566,0.333574
0,52,0.333536,0.333576
0,53,0.333540,0.333569
0,54,0.333399,0.333422
0,55,0.333408,0.333424
0,56,0.333406,0.333422
0,57,0.333409,0.333417
0,58,0.333404,0.333419
0,59,0.333411,0.333422
0,60,0.333408,0.333422
0,61,0.333414,0.333420
0,62,0.333408,0.333417
0,63,0.333413,0.333422
0,64,0.333416,0.333424
0,65,0.333408,0.333419
0,66,0.333412,0.333418
0,67,0.333407,0.333420
0,68,0.333416,0.333421
0,69,0.333409,0.333423
0,70,0.333411,0.333418
0,71,0.333400,0.333419
1,0,0.333572,0.333572
1,2,0.333574,0.333572
1,3,0.333575,0.333575
1,4,0.333574,0.333574
1,5,0.333567,0.333570
1,6,0.333574,0.333536
1,7,0.333580,0.333580
1,8,0.333551,0.333579
1,9,0.333571,0.333571
1,10,0.333577,0.333571
1,11,0.333575,0.333571
1,12,0.333578,0.333574
1,13,0.333573,0.333577
1,14,0.333571,0.333568
1,15,0.333579,0.333579
1,16,0.333573,0.333537
1,17,0.333574,0.333572
1,18,0.333420,0.333421
1,19,0.333421,0.333420
1,20,0.333418,0.333418
1,21,0.333418,0.333419
1,22,0.333419,0.333418
1,23,0.333414,0.333422
1,24,0.333417,0.333421
1,25,0.333419,0.333419
1,26,0.333416,0.333416
1,27,0.333421,0.333421
1,28,0.333405,0.333420
1,29,0.333419,0.333419
1,30,0.333418,0.333418
1,31,0.333416,0.333416
1,32,0.333421,0.333421
1,33,0.333419,0.333421
1,34,0.333419,0.333418
1,35,0.333417,0.333417
1,36,0.333570,0.333566
1,37,0.334462,0.334443
1,38,0.333576,0.333574
1,39,0.333544,0.333538
1,40,0.333549,0.333567
1,41,0.333570,0.333570
1,42,0.333545,0.333542
1,43,0.333555,0.333581
1,44,0.333574,0.333571
1,45,0.333570,0.333569
1,46,0.333573,0.333568
1,47,0.333579,0.333576
1,48,0.333558,0.333542
1,49,0.333577,0.333573
1,50,0.333565,0.333567
1,51,0.333576,0.333576
1,52,0.333577,0.333573
1,53,0.333574,0.333573
1,54,0.333422,0.333424
1,55,0.333400,0.333421
1,56,0.333420,0.333422
1,57,0.333418,0.333420
1,58,0.333416,0.333417
1,59,0.333421,0.333422
1,60,0.333419,0.333422
1,61,0.333419,0.333419
1,62,0.333412,0.333418
1,63,0.333420,0.333419
1,64,0.333420,0.333421
1,65,0.333418,0.333420
1,66,0.333418,0.333419
1,67,0.333418,0.333420
1,68,0.333414,0.333423
1,69,0.333420,0.333419
1,70,0.333418,0.333420
1,71,0.333414,0.333418
2,0,0.333570,0.333547
2,1,0.333578,0.333578
2,3,0.333582,0.333582
2,4,0.333583,0.333582
2,5,0.333575,0.333575
2,6,0.333573,0.333578
2,7,0.333580,0.333583
2,8,0.333585,0.333585
2,9,0.333560,0.333568
2,10,0.333577,0.333537
2,11,0.333576,0.333579
2,12,0.333578,0.333583
2,13,0.333585,0.333583
2,14,0.333574,0.333577
2,15,0.333584,0.333584
2,16,0.333583,0.333579
2,17,0.333556,0.333584
2,18,0.333415,0.333420
2,19,0.333419,0.333421
2,20,0.333414,0.333418
2,21,0.333414,0.333417
2,22,0.333416,0.333418
2,23,0.333419,0.333422
2,24,0.333418,0.333419
2,25,0.333418,0.333416
2,26,0.333417,0.333419
2,27,0.333415,0.333417
2,28,0.333419,0.333419
2,29,0.333417,0.333417
2,30,0.333416,0.333416
2,31,0.333417,0.333418
2,32,0.333419,0.333419
2,33,0.333418,0.333419
2,34,0.333397,0.333418
2,35,0.333417,0.333417
2,36,0.333580,0.333576
2,37,0.333574,0.333575
2,38,0.334459,0.334439
2,39,0.333579,0.333582
2,40,0.333586,0.333584
2,41,0.333570,0.333575
2,42,0.333575,0.333578
2,43,0.333582,0.333582
2,44,0.333554,0.333556
2,45,0.333577,0.333577
2,46,0.333575,0.333575
2,47,0.333548,0.333579
2,48,0.333585,0.333585
2,49,0.333568,0.333585
2,50,0.333580,0.333580
2,51,0.333581,0.333581
2,52,0.333568,0.333583
2,53,0.333583,0.333577
2,54,0.333413,0.333421
2,55,0.333419,0.333421
2,56,0.333418,0.333419
2,57,0.333412,0.333416
2,58,0.333410,0.333419
2,59,0.333419,0.333420
2,60,0.333417,0.333419
2,61,0.333402,0.333419
2,62,0.333418,0.333421
2,63,0.333419,0.333419
2,64,0.333411,0.333418
2,65,0.333411,0.333417
2,66,0.333416,0.333417
2,67,0.333415,0.333416
2,68,0.333416,0.333418
2,69,0.333416,0.333417
2,70,0.333417,0.333419
2,71,0.333410,0.333417
3,0,0.333559,0.333556
3,1,0.333572,0.333577
3,2,0.333582,0.333582
3,4,0.333569,0.333579
3,5,0.333573,0.333573
3,6,0.333578,0.333578
3,7,0.333535,0.333584
3,8,0.333584,0.333584
3,9,0.333570,0.333566
3,10,0.333573,0.333577
3,11,0.333579,0.333579
3,12,0.333542,0.333582
3,13,0.333581,0.333581
3,14,0.333553,0.333573
3,15,0.333550,0.333580
3,16,0.333584,0.333584
3,17,0.333555,0.333578
3,18,0.333415,0.333421
3,19,0.333411,0.333417
3,20,0.333415,0.333420
3,21,0.333414,0.333419
3,22,0.333416,0.333418
3,23,0.333409,0.333419
3,24,0.333410,0.333419
3,25,0.333414,0.333419
3,26,0.333417,0.333419
3,27,0.333414,0.333420
3,28,0.333415,0.333419
3,29,0.333414,0.333419
3,30,0.333412,0.333419
3,31,0.333411,0.333419
3,32,0.333415,0.333420
3,33,0.333398,0.333420
3,34,0.333414,0.333419
3,35,0.333413,0.333418
3,36,0.333572,0.333572
3,37,0.333565,0.333577
3,38,0.333552,0.333583
3,39,0.334414,0.334396
3,40,0.333577,0.333582
3,41,0.333537,0.333574
3,42,0.333573,0.333564
3,43,0.333585,0.333585
3,44,0.333573,0.333585
3,45,0.333544,0.333572
3,46,0.333575,0.333571
3,47,0.333536,0.333573
3,48,0.333578,0.333578
3,49,0.333578,0.333574
3,50,0.333560,0.333570
3,51,0.333584,0.333583
3,52,0.333578,0.333578
3,53,0.333575,0.333579
3,54,0.333414,0.333417
3,55,0.333411,0.333418
3,56,0.333415,0.333419
3,57,0.333415,0.333416
3,58,0.333420,0.333419
3,59,0.333411,0.333415
3,60,0.333397,0.333417
3,61,0.333414,0.333421
3,62,0.333414,0.333417
3,63,0.333415,0.333418
3,64,0.333413,0.333418
3,65,0.333418,0.333418
3,66,0.333419,0.333418
3,67,0.333408,0.333417
3,68,0.333409,0.333418
3,69,0.333419,0.333418
3,70,0.333417,0.333419
3,71,0.333414,0.333418
4,0,0.333571,0.333558
4,1,0.333570,0.333574
4,2,0.333576,0.333581
4,3,0.333579,0.333575
4,5,0.333575,0.333575
4,6,0.333581,0.333581
4,7,0.333584,0.333584
4,8,0.333581,0.333584
4,9,0.333570,0.333567
4,10,0.333575,0.333575
4,11,0.333582,0.333582
4,12,0.333577,0.333577
4,13,0.333564,0.333578
4,14,0.333539,0.333573
4,15,0.333552,0.333578
4,16,0.333581,0.333582
4,17,0.333581,0.333576
4,18,0.333422,0.333423
4,19,0.333418,0.333419
4,20,0.333419,0.333418
4,21,0.333417,0.333417
4,22,0.333415,0.333418
4,23,0.333413,0.333415
4,24,0.333411,0.333418
4,25,0.333411,0.333416
4,26,0.333412,0.333418
4,27,0.333413,0.333417
4,28,0.333415,0.333416
4,29,0.333417,0.333418
4,30,0.333417,0.333418
4,31,0.333416,0.333414
4,32,0.333419,0.333419
4,33,0.333412,0.333417
4,34,0.333412,0.333416
4,35,0.333417,0.333419
4,36,0.333568,0.333567
4,37,0.333552,0.333575
4,38,0.333582,0.333582
4,39,0.333551,0.333582
4,40,0.334462,0.334462
4,41,0.333571,0.333576
4,42,0.333551,0.333577
4,43,0.333582,0.333585
4,44,0.333584,0.333584
4,45,0.333576,0.333576
4,46,0.333535,0.333578
4,47,0.333582,0.333578
4,48,0.333561,0.333578
4,49,0.333577,0.333577
4,50,0.333576,0.333572
4,51,0.333580,0.333584
4,52,0.333585,0.333581
4,53,0.333576,0.333581
4,54,0.333411,0.333420
4,55,0.333419,0.333419
4,56,0.333416,0.333416
4,57,0.333411,0.333416
4,58,0.333412,0.333417
4,59,0.333418,0.333419
4,60,0.333410,0.333419
4,61,0.333419,0.333415
4,62,0.333418,0.333420
4,63,0.333418,0.333420
4,64,0.333417,0.333416
4,65,0.333417,0.333416
4,66,0.333417,0.333419
4,67,0.333408,0.333419
4,68,0.333418,0.333420
4,69,0.333416,0.333415
4,70,0.333415,0.333417
4,71,0.333418,0.333418
5,0,0.333539,0.333539
5,1,0.333569,0.333569
5,2,0.333548,0.333577
5,3,0.333568,0.333573
5,4,0.333574,0.333570
5,6,0.333526,0.333530
5,7,0.333579,0.333579
5,8,0.333574,0.333574
5,9,0.333541,0.333562
5,10,0.333566,0.333566
5,11,0.333544,0.333569
5,12,0.333571,0.333574
5,13,0.333575,0.333575
5,14,0.333526,0.333565
5,15,0.333567,0.333568
5,16,0.333521,0.333571
5,17,0.333566,0.333569
5,18,0.333418,0.333420
5,19,0.333414,0.333417
5,20,0.333400,0.333421
5,21,0.333415,0.333415
5,22,0.333416,0.333418
5,23,0.333413,0.333418
5,24,0.333412,0.333418
5,25,0.333418,0.333419
5,26,0.333416,0.333417
5,27,0.333418,0.333420
5,28,0.333418,0.333420
5,29,0.333411,0.333416
5,30,0.333398,0.333417
5,31,0.333417,0.333416
5,32,0.333419,0.333419
5,33,0.333418,0.333419
5,34,0.333415,0.333417
5,35,0.333417,0.333417
5,36,0.333567,0.333567
5,37,0.333569,0.333569
5,38,0.333569,0.333573
5,39,0.333492,0.333571
5,40,0.333577,0.333577
5,41,0.334461,0.334462
5,42,0.333565,0.333571
5,43,0.333569,0.333574
5,44,0.333574,0.333574
5,45,0.333563,0.333557
5,46,0.333560,0.333571
5,47,0.333573,0.333573
5,48,0.333569,0.333568
5,49,0.333567,0.333576
5,50,0.333564,0.333569
5,51,0.333569,0.333572
5,52,0.333562,0.333569
5,53,0.333541,0.333570
5,54,0.333407,0.333421
5,55,0.333415,0.333417
5,56,0.333414,0.333418
5,57,0.333412,0.333417
5,58,0.333400,0.333416
5,59,0.333418,0.333418
5,60,0.333412,0.333419
5,61,0.333409,0.333416
5,62,0.333414,0.333419
5,63,0.333420,0.333421
5,64,0.333410,0.333418
5,65,0.333412,0.333417
5,66,0.333412,0.333418
5,67,0.333413,0.333419
5,68,0.333413,0.333420
5,69,0.333404,0.333417
5,70,0.333414,0.333418
5,71,0.333416,0.333418
6,0,0.333540,0.333544
6,1,0.333574,0.333574
6,2,0.333574,0.333577
6,3,0.333562,0.333575
6,4,0.333577,0.333577
6,5,0.333575,0.333578
6,7,0.333579,0.333579
6,8,0.333574,0.333575
6,9,0.333569,0.333572
6,10,0.333572,0.333572
6,11,0.333575,0.333527
6,12,0.333574,0.333577
6,13,0.333578,0.333578
6,14,0.333545,0.333570
6,15,0.333579,0.333579
6,16,0.333570,0.333572
6,17,0.333572,0.333576
6,18,0.333419,0.333420
6,19,0.333419,0.333417
6,20,0.333414,0.333421
6,21,0.333418,0.333418
6,22,0.333399,0.333418
6,23,0.333417,0.333417
6,24,0.333419,0.333420
6,25,0.333418,0.333421
6,26,0.333418,0.333418
6,27,0.333415,0.333420
6,28,0.333419,0.333419
6,29,0.333417,0.333417
6,30,0.333417,0.333419
6,31,0.333416,0.333417
6,32,0.333402,0.333420
6,33,0.333412,0.333418
6,34,0.333417,0.333417
6,35,0.333417,0.333417
6,36,0.333566,0.333569
6,37,0.333563,0.333573
6,38,0.333578,0.333578
6,39,0.333572,0.333572
6,40,0.333581,0.333581
6,41,0.333573,0.333573
6,42,0.334409,0.334410
6,43,0.333572,0.333575
6,44,0.333574,0.333578
6,45,0.333574,0.333574
6,46,0.333570,0.333571
6,47,0.333577,0.333582
6,48,0.333576,0.333572
6,49,0.333575,0.333574
6,50,0.333545,0.333566
6,51,0.333577,0.333573
6,52,0.333547,0.333573
6,53,0.333572,0.333568
6,54,0.333414,0.333421
6,55,0.333412,0.333418
6,56,0.333413,0.333420
6,57,0.333403,0.333417
6,58,0.333417,0.333418
6,59,0.333418,0.333420
6,60,0.333418,0.333420
6,61,0.333419,0.333421
6,62,0.333417,0.333419
6,63,0.333414,0.333418
6,64,0.333411,0.333419
6,65,0.333417,0.333418
6,66,0.333417,0.333418
6,67,0.333417,0.333418
6,68,0.333404,0.333420
6,69,0.333416,0.333417
6,70,0.333415,0.333424
6,71,0.333413,0.333415
7,0,0.333541,0.333537
7,1,0.333572,0.333575
7,2,0.333579,0.333578
7,3,0.333549,0.333578
7,4,0.333582,0.333581
7,5,0.333575,0.333575
7,6,0.333574,0.333575
7,8,0.333583,0.333579
7,9,0.333570,0.333563
7,10,0.333571,0.333571
7,11,0.333577,0.333577
7,12,0.333578,0.333582
7,13,0.333580,0.333575
7,14,0.333547,0.333579
7,15,0.333575,0.333579
7,16,0.333582,0.333581
7,17,0.333546,0.333580
7,18,0.333415,0.333422
7,19,0.333414,0.333421
7,20,0.333414,0.333420
7,21,0.333404,0.333419
7,22,0.333411,0.333419
7,23,0.333409,0.333420
7,24,0.333413,0.333419
7,25,0.333416,0.333421
7,26,0.333418,0.333419
7,27,0.333412,0.333418
7,28,0.333410,0.333416
7,29,0.333405,0.333416
7,30,0.333411,0.333417
7,31,0.333402,0.333416
7,32,0.333413,0.333419
7,33,0.333410,0.333417
7,34,0.333418,0.333420
7,35,0.333405,0.333415
7,36,0.333566,0.333571
7,37,0.333572,0.333572
7,38,0.333550,0.333579
7,39,0.333578,0.333578
7,40,0.333554,0.333578
7,41,0.333518,0.333576
7,42,0.333578,0.333578
7,43,0.334434,0.334458
7,44,0.333580,0.333580
7,45,0.333572,0.333576
7,46,0.333576,0.333576
7,47,0.333552,0.333578
7,48,0.333553,0.333583
7,49,0.333583,0.333583
7,50,0.333542,0.333574
7,51,0.333551,0.333579
7,52,0.333585,0.333584
7,53,0.333551,0.333582
7,54,0.333415,0.333420
7,55,0.333412,0.333420
7,56,0.333402,0.333418
7,57,0.333412,0.333416
7,58,0.333418,0.333420
7,59,0.333408,0.333419
7,60,0.333398,0.333421
7,61,0.333409,0.333423
7,62,0.333425,0.333423
7,63,0.333418,0.333422
7,64,0.333415,0.333420
7,65,0.333416,0.333417
7,66,0.333395,0.333418
7,67,0.333410,0.333417
7,68,0.333415,0.333422
7,69,0.333419,0.333420
7,70,0.333413,0.333420
7,71,0.333411,0.333418
8,0,0.333577,0.333577
8,1,0.333575,0.333578
8,2,0.333583,0.333583
8,3,0.333535,0.333583
8,4,0.333552,0.333554
8,5,0.333577,0.333577
8,6,0.333523,0.333579
8,7,0.333588,0.333589
8,9,0.333572,0.333570
8,10,0.333574,0.333579
8,11,0.333582,0.333582
8,12,0.333578,0.333582
8,13,0.333583,0.333578
8,14,0.333579,0.333579
8,15,0.333585,0.333584
8,16,0.333587,0.333587
8,17,0.333581,0.333585
8,18,0.333416,0.333418
8,19,0.333395,0.333417
8,20,0.333415,0.333420
8,21,0.333417,0.333418
8,22,0.333418,0.333418
8,23,0.333417,0.333419
8,24,0.333415,0.333417
8,25,0.333407,0.333417
8,26,0.333410,0.333417
8,27,0.333416,0.333418
8,28,0.333418,0.333416
8,29,0.333416,0.333415
8,30,0.333407,0.333419
8,31,0.333416,0.333418
8,32,0.333413,0.333419
8,33,0.333415,0.333421
8,34,0.333410,0.333419
8,35,0.333418,0.333418
8,36,0.333580,0.333580
8,37,0.333581,0.333581
8,38,0.333553,0.333584
8,39,0.333584,0.333581
8,40,0.333581,0.333585
8,41,0.333575,0.333579
8,42,0.333580,0.333580
8,43,0.333511,0.333587
8,44,0.334454,0.334440
8,45,0.333574,0.333577
8,46,0.333582,0.333580
8,47,0.333525,0.333583
8,48,0.333582,0.333585
8,49,0.333581,0.333581
8,50,0.333550,0.333578
8,51,0.333586,0.333587
8,52,0.333581,0.333584
8,53,0.333557,0.333580
8,54,0.333420,0.333421
8,55,0.333418,0.333419
8,56,0.333412,0.333418
8,57,0.333417,0.333418
8,58,0.333417,0.333419
8,59,0.333412,0.333419
8,60,0.333419,0.333420
8,61,0.333415,0.333417
8,62,0.333417,0.333417
8,63,0.333416,0.333417
8,64,0.333418,0.333418
8,65,0.333408,0.333420
8,66,0.333425,0.333427
8,67,0.333424,0.333425
8,68,0.333419,0.333422
8,69,0.333417,0.333418
8,70,0.333410,0.333420
8,71,0.333418,0.333419
9,0,0.333554,0.333528
9,1,0.333535,0.333545
9,2,0.333574,0.333574
9,3,0.333560,0.333570
9,4,0.333573,0.333573
9,5,0.333563,0.333570
9,6,0.333564,0.333573
9,7,0.333575,0.333562
9,8,0.333563,0.333570
9,10,0.333565,0.333565
9,11,0.333570,0.333570
9,12,0.333561,0.333572
9,13,0.333571,0.333574
9,14,0.333568,0.333570
9,15,0.333554,0.333576
9,16,0.333575,0.333575
9,17,0.333548,0.333571
9,18,0.333399,0.333422
9,19,0.333406,0.333418
9,20,0.333417,0.333420
9,21,0.333411,0.333419
9,22,0.333407,0.333416
9,23,0.333414,0.333420
9,24,0.333416,0.333420
9,25,0.333414,0.333417
9,26,0.333415,0.333418
9,27,0.333411,0.333417
9,28,0.333417,0.333422
9,29,0.333391,0.333419
9,30,0.333396,0.333416
9,31,0.333411,0.333416
9,32,0.333414,0.333418
9,33,0.333418,0.333419
9,34,0.333414,0.333417
9,35,0.333404,0.333418
9,36,0.333535,0.333528
9,37,0.333578,0.333577
9,38,0.333566,0.333575
9,39,0.333571,0.333571
9,40,0.333571,0.333570
9,41,0.333559,0.333569
9,42,0.333574,0.333574
9,43,0.333570,0.333573
9,44,0.333541,0.333579
9,45,0.334453,0.334453
9,46,0.333571,0.333571
9,47,0.333571,0.333571
9,48,0.333555,0.333577
9,49,0.333573,0.333573
9,50,0.333563,0.333569
9,51,0.333522,0.333574
9,52,0.333575,0.333571
9,53,0.333557,0.333570
9,54,0.333392,0.333422
9,55,0.333409,0.333419
9,56,0.333414,0.333418
9,57,0.333410,0.333416
9,58,0.333413,0.333414
9,59,0.333405,0.333419
9,60,0.333418,0.333421
9,61,0.333411,0.333419
9,62,0.333417,0.333420
9,63,0.333415,0.333422
9,64,0.333402,0.333418
9,65,0.333415,0.333418
9,66,0.333407,0.333416
9,67,0.333405,0.333416
9,68,0.333413,0.333418
9,69,0.333410,0.333419
9,70,0.333414,0.333417
9,71,0.333402,0.333416
