thread_1_core,thread_2_core,period_1,period_2
0,1,0.263308,0.263312
0,2,0.263311,0.263311
0,3,0.263307,0.263316
0,4,0.263315,0.263310
0,5,0.263318,0.263325
0,6,0.263306,0.263311
0,7,0.263319,0.263318
0,8,0.263315,0.263317
0,9,0.263317,0.263318
0,10,0.263305,0.263311
0,11,0.263314,0.263314
0,12,0.263204,0.263206
0,13,0.263210,0.263210
0,14,0.263205,0.263211
0,15,0.263205,0.263212
0,16,0.263210,0.263212
0,17,0.263209,0.263212
0,18,0.263209,0.263211
0,19,0.263206,0.263209
0,20,0.263211,0.263211
0,21,0.263207,0.263212
0,22,0.263206,0.263211
0,23,0.263209,0.263212
0,24,0.264048,0.264030
0,25,0.263318,0.263314
0,26,0.263306,0.263311
0,27,0.263321,0.263318
0,28,0.263312,0.263318
0,29,0.263319,0.263325
0,30,0.263315,0.263316
0,31,0.263308,0.263321
0,32,0.263325,0.263322
0,33,0.263315,0.263318
0,34,0.263314,0.263315
0,35,0.263298,0.263316
0,36,0.263208,0.263207
0,37,0.263202,0.263207
0,38,0.263202,0.263207
0,39,0.263205,0.263206
0,40,0.263202,0.263207
0,41,0.263206,0.263207
0,42,0.263204,0.263206
0,43,0.263201,0.263205
0,44,0.263204,0.263206
0,45,0.263204,0.263208
0,46,0.263205,0.263207
0,47,0.263204,0.263208
1,0,0.263309,0.263312
1,2,0.263315,0.263318
1,3,0.263317,0.263317
1,4,0.263312,0.263318
1,5,0.263317,0.263318
1,6,0.263309,0.263309
1,7,0.263320,0.263320
1,8,0.263321,0.263318
1,9,0.263316,0.263316
1,10,0.263318,0.263314
1,11,0.263319,0.263321
1,12,0.263205,0.263204
1,13,0.263203,0.263206
1,14,0.263207,0.263208
1,15,0.263207,0.263198
1,16,0.263203,0.263205
1,17,0.263204,0.263206
1,18,0.263205,0.263207
1,19,0.263210,0.263211
1,20,0.263210,0.263210
1,21,0.263210,0.263210
1,22,0.263205,0.263211
1,23,0.263211,0.263210
1,24,0.263299,0.263303
1,25,0.264046,0.264047
1,26,0.263308,0.263311
1,27,0.263313,0.263311
1,28,0.263314,0.263313
1,29,0.263313,0.263313
1,30,0.263311,0.263307
1,31,0.263312,0.263314
1,32,0.263309,0.263312
1,33,0.263313,0.263312
1,34,0.263316,0.263313
1,35,0.263307,0.263307
1,36,0.263211,0.263208
1,37,0.263204,0.263208
1,38,0.263207,0.263207
1,39,0.263205,0.263198
1,40,0.263207,0.263209
1,41,0.263207,0.263208
1,42,0.263205,0.263206
1,43,0.263205,0.263202
1,44,0.263206,0.263208
1,45,0.263206,0.263206
1,46,0.263207,0.263207
1,47,0.263205,0.263207
2,0,0.263300,0.263307
2,1,0.263315,0.263315
2,3,0.263314,0.263314
2,4,0.263312,0.263311
2,5,0.263317,0.263314
2,6,0.263308,0.263312
2,7,0.263316,0.263318
2,8,0.263316,0.263316
2,9,0.263309,0.263312
2,10,0.263321,0.263321
2,11,0.263310,0.263313
2,12,0.263206,0.263201
2,13,0.263208,0.263207
2,14,0.263207,0.263199
2,15,0.263205,0.263207
2,16,0.263206,0.263209
2,17,0.263206,0.263208
2,18,0.263206,0.263207
2,19,0.263207,0.263208
2,20,0.263206,0.263209
2,21,0.263207,0.263208
2,22,0.263206,0.263208
2,23,0.263205,0.263208
2,24,0.263310,0.263312
2,25,0.263309,0.263312
2,26,0.264048,0.264049
2,27,0.263316,0.263316
2,28,0.263311,0.263317
2,29,0.263313,0.263317
2,30,0.263314,0.263314
2,31,0.263314,0.263316
2,32,0.263315,0.263315
2,33,0.263311,0.263315
2,34,0.263316,0.263316
2,35,0.263311,0.263314
2,36,0.263202,0.263205
2,37,0.263204,0.263208
2,38,0.263203,0.263199
2,39,0.263207,0.263207
2,40,0.263209,0.263209
2,41,0.263206,0.263208
2,42,0.263207,0.263207
2,43,0.263205,0.263205
2,44,0.263208,0.263209
2,45,0.263207,0.263208
2,46,0.263206,0.263208
2,47,0.263207,0.263207
3,0,0.263311,0.263311
3,1,0.263311,0.263313
3,2,0.263320,0.263314
3,4,0.263305,0.263306
3,5,0.263314,0.263314
3,6,0.263312,0.263313
3,7,0.263312,0.263309
3,8,0.263319,0.263316
3,9,0.263311,0.263314
3,10,0.263307,0.263310
3,11,0.263312,0.263315
3,12,0.263207,0.263201
3,13,0.263205,0.263202
3,14,0.263205,0.263204
3,15,0.263207,0.263208
3,16,0.263207,0.263208
3,17,0.263207,0.263203
3,18,0.263205,0.263207
3,19,0.263207,0.263209
3,20,0.263208,0.263208
3,21,0.263205,0.263207
3,22,0.263206,0.263209
3,23,0.263205,0.263207
3,24,0.263309,0.263309
3,25,0.263311,0.263312
3,26,0.263318,0.263318
3,27,0.264048,0.264047
3,28,0.263310,0.263310
3,29,0.263310,0.263312
3,30,0.263314,0.263311
3,31,0.263306,0.263311
3,32,0.263315,0.263319
3,33,0.263318,0.263317
3,34,0.263309,0.263306
3,35,0.263315,0.263312
3,36,0.263207,0.263205
3,37,0.263206,0.263205
3,38,0.263208,0.263208
