thread_1_core,thread_2_core,avg_round_time_nano
0,1,421
0,2,381
0,3,377
0,4,365
0,5,364
0,6,355
0,7,382
0,8,378
0,9,370
0,10,366
0,11,362
0,12,389
0,13,385
0,14,378
0,15,373
0,16,370
0,17,357
0,18,387
0,19,380
0,20,374
0,21,367
0,22,362
0,23,356
0,24,1221
0,25,1271
0,26,1241
0,27,1260
0,28,1252
0,29,1250
0,30,1272
0,31,1234
0,32,1274
0,33,1259
0,34,1248
0,35,1225
0,36,1287
0,37,1285
0,38,1291
0,39,1271
0,40,1273
0,41,1230
0,42,1246
0,43,1265
0,44,1240
0,45,1285
0,46,1247
0,47,1273
0,48,84
0,49,369
0,50,366
0,51,365
0,52,361
0,53,357
0,54,361
0,55,378
0,56,362
0,57,360
0,58,360
0,59,365
0,60,374
0,61,372
0,62,368
0,63,362
0,64,359
0,65,360
0,66,376
0,67,375
0,68,366
0,69,364
0,70,358
0,71,361
0,72,1276
0,73,1292
0,74,1266
0,75,1276
0,76,1256
0,77,1275
0,78,1273
0,79,1262
0,80,1282
0,81,1259
0,82,1273
0,83,1268
0,84,1305
0,85,1274
0,86,1280
0,87,1278
0,88,1289
0,89,1282
0,90,1260
0,91,1283
0,92,1264
0,93,1234
0,94,1268
0,95,1297
1,0,376
1,2,361
1,3,361
1,4,359
1,5,354
1,6,356
1,7,373
1,8,359
1,9,356
1,10,357
1,11,357
1,12,369
1,13,368
1,14,362
1,15,357
1,16,357
1,17,356
1,18,375
1,19,371
1,20,362
1,21,360
1,22,353
1,23,355
1,24,1268
1,25,1243
1,26,1264
1,27,1208
1,28,1279
1,29,1258
1,30,1287
1,31,1281
1,32,1288
1,33,1215
1,34,1258
1,35,1221
1,36,1266
1,37,1271
1,38,1276
1,39,1215
1,40,1241
1,41,1272
1,42,1246
1,43,1268
1,44,1253
1,45,1245
1,46,1252
1,47,1270
1,48,372
1,49,84
1,50,362
1,51,362
1,52,359
1,53,354
1,54,355
1,55,372
1,56,358
1,57,357
1,58,358
1,59,358
1,60,370
1,61,368
1,62,362
1,63,357
1,64,358
1,65,356
1,66,375
1,67,371
1,68,362
1,69,361
1,70,355
1,71,355
1,72,1242
1,73,1282
1,74,1291
1,75,1308
1,76,1306
1,77,1301
1,78,1295
1,79,1298
1,80,1286
1,81,1175
1,82,1175
1,83,1211
1,84,1200
1,85,1216
1,86,1220
1,87,1212
1,88,1210
1,89,1190
1,90,1222
1,91,1205
1,92,1202
1,93,1196
1,94,1198
1,95,1204
2,0,363
2,1,358
2,3,354
2,4,344
2,5,338
2,6,337
2,7,363
2,8,348
2,9,340
2,10,338
2,11,339
2,12,361
2,13,357
2,14,348
2,15,343
2,16,339
2,17,339
2,18,358
2,19,361
2,20,349
2,21,340
2,22,337
2,23,337
2,24,1226
2,25,1290
2,26,1290
2,27,1286
2,28,1282
2,29,1216
2,30,1219
2,31,1228
2,32,1228
2,33,1202
2,34,1199
2,35,1220
2,36,1206
2,37,1235
2,38,1229
2,39,1229
2,40,1231
2,41,1205
2,42,1225
2,43,1229
2,44,1225
2,45,1212
2,46,1217
2,47,1217
2,48,361
2,49,358
2,50,85
2,51,355
2,52,346
2,53,340
2,54,336
2,55,369
2,56,349
2,57,341
2,58,341
2,59,338
2,60,363
2,61,359
2,62,350
2,63,343
2,64,339
2,65,342
2,66,360
2,67,363
2,68,351
2,69,343
2,70,339
2,71,337
2,72,1234
2,73,1195
2,74,1239
2,75,1239
2,76,1232
2,77,1197
2,78,1201
2,79,1230
2,80,1214
2,81,1178
2,82,1177
2,83,1207
2,84,1198
2,85,1233
2,86,1233
2,87,1225
2,88,1220
2,89,1197
2,90,1218
2,91,1227
2,92,1220
2,93,1204
2,94,1211
2,95,1216
3,0,370
3,1,365
3,2,354
3,4,351
3,5,342
3,6,340
3,7,370
3,8,354
3,9,344
3,10,343
3,11,338
3,12,368
3,13,364
3,14,354
3,15,345
3,16,342
3,17,344
3,18,362
3,19,368
3,20,355
3,21,346
3,22,340
3,23,337
3,24,1233
3,25,1339
3,26,1324
3,27,1302
3,28,1295
3,29,1314
3,30,1281
3,31,1293
3,32,1337
3,33,1328
3,34,1307
3,35,1292
3,36,1311
3,37,1329
3,38,1323
3,39,1341
3,40,1352
3,41,1345
3,42,1338
3,43,1303
3,44,1314
3,45,1319
3,46,1327
3,47,1312
3,48,370
3,49,372
3,50,369
3,51,84
3,52,364
3,53,362
3,54,362
3,55,383
3,56,368
3,57,361
3,58,367
3,59,364
3,60,377
3,61,368
3,62,369
3,63,364
3,64,365
3,65,365
3,66,373
3,67,380
3,68,365
3,69,362
3,70,364
3,71,360
3,72,1300
3,73,1331
3,74,1352
3,75,1354
3,76,1344
3,77,1316
3,78,1313
3,79,1304
3,80,1347
3,81,1351
3,82,1349
3,83,1321
3,84,1334
3,85,1283
3,86,1344
3,87,1299
3,88,1342
3,89,1342
3,90,1334
3,91,1341
3,92,1328
3,93,1302
3,94,1292
3,95,1326
4,0,371
4,1,367
4,2,365
4,3,363
4,5,359
4,6,356
4,7,372
4,8,362
4,9,357
4,10,363
4,11,361
4,12,375
4,13,366
4,14,362
4,15,363
4,16,364
4,17,361
4,18,368
4,19,369
4,20,360
4,21,360
4,22,360
4,23,358
4,24,1331
4,25,1301
4,26,1331
4,27,1301
4,28,1278
4,29,1303
4,30,1312
4,31,1343
4,32,1329
4,33,1347
4,34,1295
4,35,1274
4,36,1337
4,37,1335
4,38,1283
4,39,1301
4,40,1332
4,41,1319
4,42,1303
4,43,1330
4,44,1281
4,45,1300
4,46,1306
4,47,1275
4,48,368
4,49,366
4,50,365
4,51,362
4,52,84
4,53,360
4,54,358
4,55,372
4,56,361
4,57,358
4,58,364
4,59,361
4,60,377
4,61,366
4,62,361
4,63,366
4,64,363
4,65,362
4,66,368
4,67,369
4,68,359
4,69,358
4,70,360
4,71,360
4,72,1278
4,73,1319
4,74,1341
4,75,1324
4,76,1320
4,77,1325
4,78,1287
4,79,1347
4,80,1328
4,81,1343
4,82,1317
4,83,1289
4,84,1333
4,85,1285
4,86,1339
4,87,1318
4,88,1322
4,89,1331
4,90,1324
4,91,1327
4,92,1298
4,93,1280
4,94,1309
4,95,1294
5,0,361
5,1,358
5,2,358
5,3,358
5,4,357
5,6,354
5,7,359
5,8,356
5,9,353
5,10,359
5,11,356
5,12,361
5,13,358
5,14,355
5,15,357
5,16,357
5,17,355
5,18,358
5,19,357
5,20,355
5,21,354
5,22,355
5,23,352
5,24,1281
5,25,1192
5,26,1203
5,27,1264
5,28,1257
5,29,1207
5,30,1198
5,31,1200
5,32,1252
5,33,1222
5,34,1278
5,35,1292
5,36,1286
5,37,1267
5,38,1303
5,39,1284
5,40,1280
5,41,1293
5,42,1301
5,43,1283
5,44,1281
5,45,1248
5,46,1245
5,47,1252
5,48,349
5,49,353
5,50,357
5,51,358
5,52,362
5,53,84
5,54,369
5,55,351
5,56,356
5,57,360
5,58,367
5,59,374
5,60,351
5,61,354
5,62,356
5,63,361
5,64,370
5,65,368
5,66,355
5,67,354
5,68,356
5,69,360
5,70,370
5,71,375
5,72,1255
5,73,1246
5,74,1289
5,75,1289
5,76,1262
5,77,1289
5,78,1283
5,79,1300
5,80,1231
5,81,1244
5,82,1293
5,83,1288
5,84,1270
5,85,1240
5,86,1252
5,87,1278
5,88,1288
5,89,1293
5,90,1285
5,91,1275
5,92,1240
5,93,1277
5,94,1273
5,95,1278
6,0,356
6,1,357
6,2,362
6,3,363
6,4,366
6,5,372
6,7,356
6,8,361
6,9,365
6,10,372
6,11,379
6,12,355
6,13,357
6,14,359
6,15,365
6,16,375
6,17,372
6,18,357
6,19,357
6,20,358
6,21,363
6,22,374
6,23,378
6,24,1298
6,25,1258
6,26,1316
6,27,1312
6,28,1257
6,29,1291
6,30,1297
6,31,1300
6,32,1291
6,33,1300
6,34,1279
6,35,1287
6,36,1307
6,37,1293
6,38,1299
6,39,1294
6,40,1273
6,41,1295
6,42,1320
6,43,1291
6,44,1288
6,45,1297
6,46,1281
6,47,1298
6,48,351
6,49,357
6,50,360
6,51,363
6,52,367
6,53,370
6,54,84
6,55,356
6,56,359
6,57,364
6,58,371
6,59,378
6,60,355
6,61,357
6,62,360
6,63,366
6,64,375
6,65,373
6,66,358
6,67,358
6,68,360
6,69,364
6,70,375
6,71,379
6,72,1246
6,73,1209
6,74,1215
6,75,1207
6,76,1211
6,77,1206
6,78,1194
6,79,1213
6,80,1210
6,81,1217
6,82,1213
6,83,1215
6,84,1209
6,85,1186
6,86,1209
6,87,1194
6,88,1216
6,89,1213
6,90,1216
6,91,1213
6,92,1216
6,93,1212
6,94,1213
6,95,1182
7,0,346
7,1,343
7,2,344
7,3,342
7,4,339
7,5,351
7,6,356
7,8,343
7,9,343
7,10,354
7,11,358
7,12,346
7,13,343
7,14,342
7,15,344
7,16,355
7,17,353
7,18,344
7,19,343
7,20,342
7,21,342
7,22,356
7,23,359
7,24,1139
7,25,1271
7,26,1291
7,27,1273
7,28,1321
7,29,1279
7,30,1320
7,31,1328
7,32,1334
7,33,1272
7,34,1291
7,35,1281
7,36,1309
7,37,1327
7,38,1322
7,39,1262
7,40,1314
7,41,1329
7,42,1314
7,43,1300
7,44,1226
7,45,1314
7,46,1303
7,47,1277
7,48,337
7,49,334
7,50,336
7,51,334
7,52,342
7,53,351
7,54,355
7,55,84
7,56,333
7,57,338
7,58,353
7,59,358
7,60,337
7,61,335
7,62,337
7,63,341
7,64,356
7,65,351
7,66,338
7,67,339
7,68,333
7,69,338
7,70,352
7,71,355
