thread_1_core,thread_2_core,period_1,period_2
0,1,0.400306,0.400315
0,2,0.400305,0.400328
0,3,0.400318,0.400325
0,4,0.400327,0.400327
0,5,0.400327,0.400342
0,6,0.400325,0.400333
0,7,0.400310,0.400310
0,8,0.400314,0.400325
0,9,0.400325,0.400333
0,10,0.400327,0.400342
0,11,0.400324,0.400335
0,12,0.400283,0.400315
0,13,0.400312,0.400325
0,14,0.400314,0.400327
0,15,0.400316,0.400333
0,16,0.400323,0.400338
0,17,0.400326,0.400334
0,18,0.400301,0.400325
0,19,0.400305,0.400324
0,20,0.400324,0.400332
0,21,0.400319,0.400335
0,22,0.400325,0.400338
0,23,0.400328,0.400336
0,24,0.400102,0.400112
0,25,0.400095,0.400107
0,26,0.400093,0.400104
0,27,0.400096,0.400108
0,28,0.400095,0.400097
0,29,0.400093,0.400108
0,30,0.400096,0.400105
0,31,0.400093,0.400105
0,32,0.400094,0.400105
0,33,0.400093,0.400108
0,34,0.400087,0.400107
0,35,0.400095,0.400104
0,36,0.400095,0.400105
0,37,0.400095,0.400107
0,38,0.400096,0.400105
0,39,0.400099,0.400103
0,40,0.400065,0.400106
0,41,0.400094,0.400108
0,42,0.400093,0.400105
0,43,0.400090,0.400103
0,44,0.400093,0.400105
0,45,0.400093,0.400106
0,46,0.400090,0.400105
0,47,0.400089,0.400107
0,48,0.401612,0.401612
0,49,0.400297,0.400324
0,50,0.400315,0.400343
0,51,0.400281,0.400336
0,52,0.400309,0.400336
0,53,0.400314,0.400340
0,54,0.400320,0.400337
0,55,0.400229,0.400308
0,56,0.400294,0.400330
0,57,0.400319,0.400338
0,58,0.400319,0.400336
0,59,0.400261,0.400334
0,60,0.400302,0.400319
0,61,0.400259,0.400319
0,62,0.400282,0.400322
0,63,0.400329,0.400341
0,64,0.400321,0.400333
0,65,0.400319,0.400339
0,66,0.400295,0.400313
0,67,0.400280,0.400317
0,68,0.400299,0.400336
0,69,0.400317,0.400320
0,70,0.400323,0.400340
0,71,0.400330,0.400339
0,72,0.400094,0.400107
0,73,0.400095,0.400108
0,74,0.400096,0.400102
0,75,0.400099,0.400108
0,76,0.400092,0.400107
0,77,0.400093,0.400100
0,78,0.400095,0.400108
0,79,0.400092,0.400104
0,80,0.400077,0.400099
0,81,0.400094,0.400072
0,82,0.400092,0.400109
0,83,0.400097,0.400107
0,84,0.400094,0.400108
0,85,0.400094,0.400107
0,86,0.400097,0.400108
0,87,0.400093,0.400099
0,88,0.400093,0.400106
0,89,0.400094,0.400106
0,90,0.400081,0.400101
0,91,0.400095,0.400106
0,92,0.400097,0.400111
0,93,0.400095,0.400106
0,94,0.400094,0.400106
0,95,0.400096,0.400107
