thread_1_core,thread_2_core,avg_round_time_nano
0,1,354
0,2,346
0,3,343
0,4,352
0,5,357
0,6,345
0,7,336
0,8,359
0,9,339
0,10,334
0,11,357
0,12,359
0,13,340
0,14,337
0,15,359
0,16,345
0,17,342
0,18,352
0,19,335
0,20,347
0,21,353
0,22,361
0,23,336
0,24,340
0,25,352
0,26,354
0,27,340
0,28,341
0,29,356
0,30,341
0,31,342
0,32,357
0,33,357
0,34,345
0,35,348
0,36,363
0,37,356
0,38,356
0,39,373
0,40,937
0,41,931
0,42,905
0,43,886
0,44,934
0,45,937
0,46,909
0,47,896
0,48,943
0,49,920
0,50,900
0,51,955
0,52,954
0,53,924
0,54,926
0,55,954
0,56,935
0,57,941
0,58,908
0,59,870
0,60,870
0,61,883
0,62,889
0,63,870
0,64,874
0,65,892
0,66,896
0,67,873
0,68,875
0,69,895
0,70,878
0,71,873
0,72,902
0,73,903
0,74,887
0,75,884
0,76,899
0,77,901
0,78,902
0,79,919
0,80,62
0,81,359
0,82,346
0,83,340
0,84,357
0,85,357
0,86,340
0,87,339
0,88,360
0,89,340
0,90,335
0,91,362
0,92,362
0,93,339
0,94,341
0,95,366
0,96,341
0,97,343
0,98,352
0,99,334
0,100,345
0,101,355
0,102,356
0,103,336
0,104,340
0,105,354
0,106,355
0,107,340
0,108,342
0,109,357
0,110,341
0,111,339
0,112,355
0,113,357
0,114,346
0,115,348
0,116,364
0,117,355
0,118,357
0,119,374
0,120,936
0,121,931
0,122,909
0,123,891
0,124,935
0,125,937
0,126,909
0,127,897
0,128,943
0,129,920
0,130,901
0,131,951
0,132,954
0,133,930
0,134,925
0,135,955
0,136,935
0,137,939
0,138,910
0,139,873
0,140,872
0,141,888
0,142,892
0,143,874
0,144,871
0,145,891
0,146,895
0,147,874
0,148,874
0,149,892
0,150,885
0,151,873
0,152,904
0,153,902
0,154,903
0,155,889
0,156,898
0,157,900
0,158,902
0,159,922
1,0,357
1,2,345
1,3,335
1,4,356
1,5,354
1,6,334
1,7,336
1,8,357
1,9,332
1,10,332
1,11,361
1,12,360
1,13,339
1,14,338
1,15,360
1,16,343
1,17,342
1,18,346
1,19,338
1,20,342
1,21,356
1,22,355
1,23,331
1,24,336
1,25,349
1,26,351
1,27,334
1,28,332
1,29,352
1,30,338
1,31,338
1,32,353
1,33,357
1,34,347
1,35,348
1,36,361
1,37,353
1,38,355
1,39,372
1,40,927
1,41,919
1,42,904
1,43,883
1,44,922
1,45,925
1,46,899
1,47,888
1,48,939
1,49,917
1,50,895
1,51,945
1,52,947
1,53,914
1,54,919
1,55,948
1,56,927
1,57,938
1,58,905
1,59,873
1,60,870
1,61,877
1,62,880
1,63,872
1,64,870
1,65,882
1,66,885
1,67,872
1,68,872
1,69,880
1,70,874
1,71,872
1,72,894
1,73,898
1,74,885
1,75,875
1,76,901
1,77,898
1,78,899
1,79,902
1,80,357
1,81,63
1,82,346
1,83,333
1,84,354
1,85,355
1,86,336
1,87,337
1,88,353
1,89,333
1,90,332
1,91,360
1,92,360
1,93,338
1,94,340
1,95,359
1,96,344
1,97,341
1,98,348
1,99,337
1,100,345
1,101,354
1,102,349
1,103,332
1,104,335
1,105,350
1,106,352
1,107,335
1,108,336
1,109,351
1,110,338
1,111,339
1,112,353
1,113,357
1,114,345
1,115,346
1,116,362
1,117,353
1,118,356
1,119,371
1,120,914
1,121,927
1,122,904
1,123,882
1,124,929
1,125,929
1,126,904
1,127,890
1,128,939
1,129,914
1,130,892
1,131,944
1,132,949
1,133,915
1,134,915
1,135,948
1,136,922
1,137,932
1,138,903
1,139,872
1,140,869
1,141,875
1,142,880
1,143,871
1,144,870
1,145,879
1,146,885
1,147,871
1,148,871
1,149,880
1,150,879
1,151,872
1,152,897
1,153,901
1,154,889
1,155,879
1,156,900
1,157,899
1,158,902
1,159,901
2,0,347
2,1,344
2,3,329
2,4,337
2,5,332
2,6,333
2,7,330
2,8,348
2,9,335
2,10,325
2,11,343
2,12,344
2,13,338
2,14,333
2,15,353
2,16,344
2,17,337
2,18,345
2,19,330
2,20,336
2,21,346
2,22,339
2,23,328
2,24,327
2,25,340
2,26,345
2,27,336
2,28,335
2,29,349
2,30,340
2,31,340
2,32,353
2,33,356
2,34,347
2,35,346
2,36,360
2,37,353
2,38,355
2,39,368
2,40,909
2,41,919
2,42,872
2,43,859
2,44,926
2,45,925
2,46,873
2,47,866
2,48,931
2,49,882
2,50,867
2,51,937
2,52,944
2,53,892
2,54,878
2,55,952
2,56,897
2,57,884
2,58,896
2,59,864
2,60,865
2,61,874
2,62,876
2,63,868
2,64,868
2,65,874
2,66,879
2,67,871
2,68,875
2,69,887
2,70,875
2,71,877
2,72,894
2,73,895
2,74,875
2,75,880
2,76,904
2,77,880
2,78,889
2,79,904
2,80,348
2,81,343
2,82,62
2,83,331
2,84,338
2,85,331
2,86,333
2,87,329
2,88,347
2,89,335
2,90,326
2,91,344
2,92,343
2,93,338
2,94,334
2,95,352
2,96,343
2,97,337
2,98,344
2,99,333
2,100,337
2,101,347
2,102,340
2,103,326
2,104,331
2,105,342
2,106,346
2,107,334
2,108,334
2,109,349
2,110,340
2,111,340
2,112,352
2,113,355
2,114,347
2,115,346
2,116,360
2,117,352
2,118,354
2,119,369
2,120,906
2,121,913
2,122,869
2,123,854
2,124,922
2,125,920
2,126,866
2,127,863
2,128,926
2,129,881
2,130,863
2,131,938
2,132,943
2,133,884
2,134,877
2,135,950
2,136,892
2,137,890
2,138,893
2,139,861
2,140,864
2,141,871
2,142,872
2,143,864
2,144,866
2,145,871
