attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,130486,1249
1,5365,5757
2,5340,5144
3,5315,5389
4,5413,5414
5,5830,5487
6,5585,5830
7,5438,5438
8,5438,5609
9,5438,5266
10,5438,5462
11,5389,5511
12,5291,5364
13,5291,5266
14,5267,5242
15,5414,5438
16,5291,5364
17,5267,5217
18,5340,5242
19,5291,5389
20,5267,5242
21,5217,5291
22,5291,5266
23,5169,5168
24,6786,6344
25,7276,7275
26,6124,6614
27,5536,5512
28,5487,5512
29,5291,5267
30,5193,5218
31,5291,5316
32,5217,5193
33,5217,5242
34,5340,5193
35,5242,5389
36,5217,5193
37,5266,5266
38,5193,5193
39,5144,5169
40,5193,5217
41,5315,5217
42,5266,5340
43,5217,5218
44,5732,5512
45,5291,5414
46,5487,5438
47,5659,5560
48,5414,5511
49,5683,5683
50,5315,5438
51,5217,5218
52,5315,5242
53,5291,5340
54,5413,5242
55,5364,5585
56,5266,5267
57,5193,5193
58,5291,5291
59,5218,5218
60,5291,5365
61,5266,5169
62,5242,5316
63,5193,5169
64,5193,5242
65,5193,5144
66,5242,5242
67,5193,5193
68,5291,5291
69,5218,5217
70,5267,5315
71,5267,5266
72,5242,5315
73,5218,5144
74,5242,5218
75,5144,5193
76,5267,5217
77,5267,5315
78,5267,5242
79,5218,5242
80,5218,5242
81,5291,5218
82,5315,5365
83,5291,5267
84,5267,5242
85,5242,5291
86,5291,5267
87,5242,5291
88,5218,5217
89,5242,5242
90,5266,5144
91,5242,5389
92,5364,5266
93,5315,5340
94,5266,5291
95,5217,5168
96,5291,5340
97,5267,5242
98,5365,5291
99,5267,5340
100,5242,5291
101,5266,5242
102,5266,5291
103,5291,5291
104,5242,5267
105,5242,5193
106,5315,5291
107,5217,5266
108,5340,5315
109,5169,5168
110,5291,5291
111,5291,5316
112,5242,5242
113,5315,5291
114,5266,5242
115,5266,5340
116,5340,5291
117,5291,5291
118,5242,5218
119,5267,5340
120,5217,5242
121,5266,5242
122,5340,5266
123,5242,5315
124,5144,5168
125,5267,5242
126,5242,5242
127,5193,5217
128,5218,5291
129,5267,5169
130,5316,5266
131,5267,5340
132,5291,5291
133,5242,5266
134,5316,5291
135,5267,5267
136,5267,5316
137,5242,5169
138,5242,5242
139,5267,5266
140,5316,5291
141,5242,5316
142,5291,5242
143,5291,5340
144,5291,5316
145,5315,5267
146,5340,5340
147,5316,5315
148,5267,5242
149,5291,5291
150,5217,5193
151,5266,5266
152,5217,5242
153,5242,5267
154,5291,5242
155,5266,5291
156,5193,5193
157,5291,5340
158,5217,5144
159,5144,5217
160,5267,5242
161,5218,5218
162,5316,5291
163,5242,5242
164,5340,5316
165,5242,5291
166,5340,5291
167,5267,5316
168,5316,5316
169,5193,5193
170,5340,5315
171,5291,5266
172,5266,5291
173,5242,5217
174,5267,5266
175,5193,5217
176,5291,5340
177,5144,5120
178,5267,5242
179,5316,5315
180,5267,5242
181,5291,5340
182,5291,5291
183,5266,5316
184,5266,5242
185,5242,5242
186,5242,5242
187,5266,5267
188,5291,5291
189,5316,5315
190,5218,5193
191,5144,5242
192,5217,5144
193,5315,5316
194,5266,5242
195,5291,5340
196,5291,5340
197,5266,5242
198,5242,5267
199,5193,5218
200,5266,5242
201,5218,5218
202,5316,5267
203,5218,5242
204,5267,5291
205,5267,5242
206,5218,5242
207,5242,5242
208,5266,5291
209,5266,5218
210,5315,5291
211,5242,5266
212,5340,5340
213,5193,5193
214,5193,5242
215,5267,5267
216,5218,5218
217,5267,5316
218,5291,5193
219,5242,5291
220,5217,5242
221,5266,5266
222,5217,5242
223,5266,5267
224,5217,5193
225,5217,5242
226,5364,5267
227,5291,5365
228,5291,5218
229,5266,5316
230,5217,5218
231,5217,5218
232,5217,5242
233,5266,5291
234,5291,5218
235,5266,5340
236,5291,5291
237,5242,5218
238,5242,5291
239,5193,5193
240,5267,5316
241,5316,5267
242,5340,5242
243,5242,5340
244,5316,5291
245,5193,5193
246,5266,5267
247,5242,5242
248,5267,5316
249,5218,5169
250,5291,5242
251,5242,5291
252,5218,5193
253,5217,5266
254,5315,5266
255,5291,5340
256,5218,5242
257,5315,5266
258,5267,5291
259,5267,5316
260,5169,5144
261,5291,5291
262,5217,5218
263,5217,5242
264,5266,5266
265,5242,5242
266,5242,5242
267,5315,5291
268,5193,5193
269,5340,5340
270,5291,5291
271,5144,5193
272,5218,5218
273,5242,5218
274,5266,5291
275,5266,5242
276,5315,5365
277,5242,5218
278,5242,5267
279,5193,5193
280,5364,5340
281,5217,5169
282,5266,5340
283,5291,5218
284,5242,5291
285,5315,5291
286,5193,5193
287,5242,5267
288,5291,5242
289,5316,5340
290,5266,5242
291,5315,5340
292,5168,5193
293,5291,5291
294,5169,5144
295,5267,5340
296,5193,5169
297,5218,5267
298,5267,5193
299,5218,5217
300,5291,5291
301,5266,5218
302,5144,5169
303,5218,5242
304,5242,5168
305,5242,5315
306,5291,5193
307,5291,5340
308,5218,5217
309,5316,5315
310,5316,5315
311,5267,5266
312,5316,5340
313,5242,5242
314,5316,5291
315,5242,5267
316,5316,5365
317,5291,5267
318,5242,5267
319,5218,5242
320,5267,5217
321,5218,5242
322,5218,5193
323,5193,5168
324,5266,5315
325,5242,5217
326,5267,5291
327,5291,5267
328,5266,5267
329,5291,5316
330,5316,5291
331,5218,5266
332,5267,5217
333,5266,5340
334,5217,5193
335,5266,5266
336,5144,5168
337,5267,5242
338,5267,5267
339,5193,5242
340,5242,5168
341,5267,5291
342,5242,5242
343,5193,5217
344,5340,5266
345,5340,5364
346,5218,5266
347,5242,5217
348,5291,5315
349,5218,5193
350,5291,5291
351,5168,5217
352,5315,5291
353,5266,5267
354,5168,5193
355,5242,5193
356,5242,5267
357,5193,5242
358,5242,5217
359,5144,5144
360,5266,5291
361,5168,5119
362,5291,5315
363,5193,5168
364,5218,5266
365,5242,5217
366,5291,5266
367,5242,5315
368,5340,5291
369,5242,5267
370,5242,5218
371,5266,5291
372,5169,5217
373,5291,5266
374,5144,5168
375,5291,5315
376,5217,5193
377,5193,5218
378,5217,5169
379,5193,5242
380,5193,5193
381,5242,5218
382,5120,5119
383,5193,5144
384,5193,5242
385,5291,5266
386,5340,5340
387,5193,5218
388,5217,5218
389,5217,5218
390,5168,5169
391,5218,5242
392,5193,5217
393,5242,5217
394,5218,5242
395,5242,5218
396,5316,5316
397,5267,5267
398,5242,5242
399,5242,5291
400,5218,5267
401,5242,5120
402,5242,5291
403,5218,5193
404,5365,5340
405,5242,5291
406,5291,5217
407,5168,5217
408,5217,5291
409,5315,5242
410,5266,5266
411,5217,5242
412,5315,5291
413,5193,5217
414,5291,5242
415,5242,5316
416,5266,5267
417,5266,5267
418,5168,5169
419,5291,5267
420,5242,5242
421,5218,5267
422,5242,5144
423,5193,5242
424,5193,5169
425,5217,5266
426,5266,5242
427,5217,5193
428,5168,5168
429,5291,5315
430,5193,5168
431,5193,5242
432,5168,5169
433,5242,5218
434,5217,5267
435,5291,5242
436,5144,5217
437,5315,5217
438,5217,5266
439,5242,5242
440,5316,5340
441,5193,5193
442,5315,5291
443,5217,5217
444,5242,5291
445,5316,5242
446,5193,5242
447,5217,5193
448,5266,5315
449,5168,5144
450,5291,5242
451,5193,5242
452,5266,5340
453,5193,5095
454,5193,5218
455,5242,5218
456,5144,5242
457,5144,5095
458,5266,5291
459,5168,5144
460,5364,5316
461,5193,5218
462,5242,5291
463,5168,5217
464,5266,5242
465,5291,5267
466,5242,5242
467,5193,5291
468,5217,5120
469,5193,5291
470,5267,5168
471,5218,5291
472,5267,5267
473,5267,5218
474,5193,5218
475,5217,5242
476,5291,5242
477,5218,5242
478,5242,5168
479,5168,5291
480,5217,5169
481,5242,5267
482,5291,5267
483,5316,5291
484,5218,5242
485,5291,5267
486,5315,5340
487,5144,5168
488,5340,5340
489,5291,5291
490,5267,5291
491,5267,5193
492,5218,5242
493,5242,5218
494,5217,5291
495,5193,5193
496,5315,5291
497,5119,5120
498,5242,5218
499,5218,5218
500,5218,5242
501,5267,5217
502,5218,5266
503,5218,5242
504,5218,5267
505,5144,5095
506,5315,5242
507,5217,5267
508,5217,5218
509,5291,5267
510,5242,5267
511,5291,5316
512,5267,5267
513,5218,5218
514,5316,5218
515,5267,5340
516,5242,5193
517,5266,5316
518,5144,5120
519,5267,5316
520,5242,5218
521,5242,5267
522,5242,5193
523,5218,5266
524,5242,5242
525,5267,5267
526,5218,5242
527,5193,5168
528,5095,5144
529,5316,5217
530,5144,5217
531,5217,5168
532,5217,5242
533,5217,5193
534,5193,5168
535,5144,5168
536,5242,5291
537,5242,5193
538,5193,5242
539,5266,5242
540,5266,5291
541,5217,5193
542,5266,5291
543,5242,5218
544,5291,5340
545,5193,5144
546,5242,5267
547,5266,5193
548,5217,5291
549,5242,5193
550,5267,5291
551,5218,5267
552,5316,5316
553,5168,5144
554,5389,5266
555,5267,5364
556,5291,5315
557,5291,5315
558,5193,5193
559,5193,5242
560,5291,5242
561,5217,5267
562,5315,5267
563,5266,5242
564,5168,5218
565,5242,5218
566,5242,5193
567,5168,5242
568,5291,5267
569,5242,5267
570,5217,5193
571,5315,5266
572,5242,5242
573,5291,5291
574,5193,5193
575,5218,5242
576,5267,5267
