thread_1_core,thread_2_core,period_1,period_2
0,1,0.408757,0.408795
0,2,0.408973,0.408926
0,3,0.408762,0.408752
0,4,0.408940,0.408873
0,5,0.408705,0.408717
0,6,0.408850,0.408816
0,7,0.408899,0.408901
0,8,0.408395,0.408450
0,9,0.408404,0.408414
0,10,0.408404,0.408415
0,11,0.408436,0.408405
0,12,0.408400,0.408406
0,13,0.408390,0.408402
0,14,0.408387,0.408403
0,15,0.408413,0.408039
0,16,0.408402,0.407888
0,17,0.408394,0.408074
0,18,0.408398,0.408405
0,19,0.408449,0.407709
0,20,0.408484,0.408197
0,21,0.408402,0.408191
0,22,0.408400,0.408401
0,23,0.408396,0.408406
0,24,0.408251,0.408098
0,25,0.408395,0.408113
0,26,0.408406,0.408169
0,27,0.408398,0.408176
0,28,0.408397,0.408407
0,29,0.408381,0.408403
0,30,0.408402,0.408186
0,31,0.408392,0.408123
0,32,0.408366,0.408407
0,33,0.408357,0.408146
0,34,0.408439,0.408237
0,35,0.408379,0.408154
0,36,0.408360,0.408194
0,37,0.408365,0.408173
0,38,0.408399,0.408214
0,39,0.408334,0.408151
0,40,0.408360,0.407870
0,41,0.408368,0.408374
0,42,0.408376,0.408195
0,43,0.408358,0.408144
0,44,0.408364,0.408196
0,45,0.408394,0.408119
0,46,0.408402,0.408149
0,47,0.408365,0.408377
0,48,0.408375,0.408141
0,49,0.404229,0.408163
0,50,0.408354,0.408359
0,51,0.408369,0.408143
0,52,0.408367,0.408164
0,53,0.408375,0.408236
0,54,0.408366,0.408179
0,55,0.408372,0.408215
0,56,0.408360,0.407654
0,57,0.408376,0.408376
0,58,0.408386,0.408162
0,59,0.408359,0.408040
0,60,0.408363,0.408178
0,61,0.408371,0.408378
0,62,0.408367,0.408167
0,63,0.408367,0.408182
0,64,0.408261,0.408268
0,65,0.408254,0.408076
0,66,0.408262,0.408154
0,67,0.408272,0.408134
0,68,0.408250,0.408154
0,69,0.408249,0.408108
0,70,0.408085,0.408161
0,71,0.408256,0.408164
0,72,0.408270,0.408268
0,73,0.408251,0.408122
0,74,0.408250,0.408157
0,75,0.408255,0.408171
0,76,0.408250,0.408172
0,77,0.408249,0.408145
0,78,0.408250,0.408112
0,79,0.408249,0.408161
0,80,0.408250,0.408260
0,81,0.408252,0.408173
0,82,0.408253,0.408139
0,83,0.408249,0.408261
0,84,0.408251,0.408258
0,85,0.408250,0.408199
0,86,0.408254,0.408176
0,87,0.408251,0.408172
0,88,0.408250,0.408137
0,89,0.408251,0.408162
0,90,0.408284,0.408165
0,91,0.408258,0.408259
0,92,0.408251,0.408145
0,93,0.408257,0.408109
0,94,0.408249,0.408154
0,95,0.408254,0.408165
0,96,0.408254,0.408138
0,97,0.408261,0.408158
0,98,0.408263,0.408146
0,99,0.408256,0.408125
0,100,0.408257,0.408151
