thread_1_core,thread_2_core,avg_round_time_nano
0,1,175
0,2,178
0,3,176
0,4,178
0,5,173
0,6,171
0,7,166
0,8,557
0,9,556
0,10,565
0,11,540
0,12,542
0,13,538
0,14,538
0,15,537
0,16,71
0,17,175
0,18,177
0,19,172
0,20,173
0,21,166
0,22,169
0,23,161
0,24,557
0,25,555
0,26,555
0,27,539
0,28,545
0,29,540
0,30,541
0,31,540
1,0,176
1,2,176
1,3,172
1,4,174
1,5,172
1,6,170
1,7,167
1,8,549
1,9,549
1,10,565
1,11,544
1,12,551
1,13,541
1,14,539
1,15,539
1,16,174
1,17,69
1,18,178
1,19,173
1,20,176
1,21,173
1,22,168
1,23,167
1,24,551
1,25,549
1,26,557
1,27,542
1,28,550
1,29,539
1,30,538
1,31,539
2,0,178
2,1,176
2,3,171
2,4,180
2,5,166
2,6,167
2,7,170
2,8,557
2,9,544
2,10,563
2,11,538
2,12,545
2,13,539
2,14,539
2,15,539
2,16,178
2,17,177
2,18,72
2,19,172
2,20,178
2,21,166
2,22,174
2,23,170
2,24,557
2,25,544
2,26,554
2,27,537
2,28,545
2,29,538
2,30,538
2,31,539
3,0,170
3,1,170
3,2,172
3,4,167
3,5,166
3,6,164
3,7,166
3,8,539
3,9,541
3,10,546
3,11,540
3,12,539
3,13,539
3,14,530
3,15,536
3,16,172
3,17,171
3,18,174
3,19,70
3,20,170
3,21,170
3,22,163
3,23,163
3,24,539
3,25,539
3,26,537
3,27,539
3,28,539
3,29,538
3,30,532
3,31,537
4,0,176
4,1,178
4,2,179
4,3,171
4,5,170
4,6,175
4,7,176
4,8,557
4,9,552
4,10,570
4,11,539
4,12,546
4,13,538
4,14,537
4,15,539
4,16,176
4,17,174
4,18,178
4,19,169
4,20,72
4,21,165
4,22,175
4,23,176
4,24,557
4,25,544
4,26,556
4,27,538
4,28,548
4,29,539
4,30,538
4,31,540
5,0,167
5,1,169
5,2,165
5,3,161
5,4,167
5,6,165
5,7,163
5,8,551
5,9,545
5,10,581
5,11,543
5,12,542
5,13,540
5,14,537
5,15,534
5,16,168
5,17,170
5,18,164
5,19,163
5,20,167
5,21,71
5,22,162
5,23,159
5,24,544
5,25,543
5,26,542
5,27,540
5,28,540
5,29,547
5,30,542
5,31,542
6,0,165
6,1,163
6,2,172
6,3,159
6,4,166
6,5,158
6,7,168
6,8,557
6,9,551
6,10,568
6,11,539
6,12,545
6,13,537
6,14,539
6,15,531
6,16,166
