thread_1_core,thread_2_core,avg_round_time_nano
0,1,456
0,2,408
0,3,440
0,4,453
0,5,407
0,6,421
0,7,446
0,8,420
0,9,453
0,10,414
0,11,454
0,12,433
0,13,416
0,14,424
0,15,459
0,16,395
0,17,404
0,18,1307
0,19,1230
0,20,1304
0,21,1303
0,22,1242
0,23,1282
0,24,1256
0,25,1394
0,26,1241
0,27,1259
0,28,1447
0,29,1365
0,30,1318
0,31,1438
0,32,1179
0,33,1307
0,34,1164
0,35,1224
0,36,81
0,37,425
0,38,435
0,39,399
0,40,450
0,41,405
0,42,459
0,43,397
0,44,396
0,45,413
0,46,455
0,47,454
0,48,408
0,49,456
0,50,464
0,51,437
0,52,414
0,53,402
0,54,1149
0,55,1355
0,56,1380
0,57,1348
0,58,1238
0,59,1293
0,60,1197
0,61,1299
0,62,1255
0,63,1132
0,64,1348
0,65,1224
0,66,1185
0,67,1217
0,68,1241
0,69,1405
0,70,1179
0,71,1330
1,0,450
1,2,426
1,3,445
1,4,391
1,5,429
1,6,416
1,7,442
1,8,434
1,9,403
1,10,390
1,11,443
1,12,431
1,13,445
1,14,396
1,15,440
1,16,407
1,17,442
1,18,1428
1,19,1396
1,20,1226
1,21,1338
1,22,1397
1,23,1159
1,24,1158
1,25,1234
1,26,1212
1,27,1207
1,28,1340
1,29,1355
1,30,1410
1,31,1275
1,32,1412
1,33,1205
1,34,1406
1,35,1351
1,36,430
1,37,80
1,38,439
1,39,429
1,40,448
1,41,394
1,42,439
1,43,389
1,44,403
1,45,417
1,46,440
1,47,395
1,48,394
1,49,393
1,50,396
1,51,431
1,52,424
1,53,443
1,54,1388
1,55,1392
1,56,1403
1,57,1344
1,58,1182
1,59,1362
1,60,1200
1,61,1149
1,62,1177
1,63,1302
1,64,1262
1,65,1354
1,66,1407
1,67,1176
1,68,1303
1,69,1327
1,70,1362
1,71,1314
2,0,433
2,1,422
2,3,402
2,4,425
2,5,448
2,6,421
2,7,435
2,8,438
2,9,462
2,10,449
2,11,440
2,12,444
2,13,447
2,14,410
2,15,421
2,16,435
2,17,402
2,18,1285
2,19,1409
2,20,1317
2,21,1429
2,22,1307
2,23,1196
2,24,1162
2,25,1269
2,26,1293
2,27,1423
2,28,1299
2,29,1265
2,30,1293
2,31,1252
2,32,1159
2,33,1299
2,34,1270
2,35,1254
2,36,423
2,37,453
2,38,80
2,39,447
2,40,440
2,41,438
2,42,400
2,43,435
2,44,412
2,45,423
2,46,438
2,47,388
2,48,440
2,49,439
2,50,423
2,51,408
2,52,422
2,53,452
2,54,1129
2,55,1270
2,56,1307
2,57,1221
2,58,1163
2,59,1269
2,60,1311
2,61,1423
2,62,1326
2,63,1252
2,64,1162
2,65,1215
2,66,1181
2,67,1230
2,68,1179
2,69,1363
2,70,1369
2,71,1415
3,0,422
3,1,434
3,2,407
3,4,475
3,5,441
3,6,422
3,7,450
3,8,444
3,9,433
3,10,427
3,11,414
3,12,447
3,13,457
3,14,394
3,15,400
3,16,407
3,17,455
3,18,1237
3,19,1409
3,20,1446
3,21,1285
3,22,1322
3,23,1186
3,24,1326
3,25,1371
3,26,1196
3,27,1218
3,28,1330
3,29,1356
3,30,1241
3,31,1361
3,32,1186
3,33,1359
3,34,1210
3,35,1434
3,36,424
3,37,392
3,38,444
3,39,80
3,40,458
3,41,395
3,42,446
3,43,401
3,44,455
3,45,425
3,46,428
3,47,414
3,48,451
3,49,409
3,50,449
3,51,442
3,52,447
3,53,459
3,54,1308
3,55,1327
3,56,1231
3,57,1378
3,58,1411
3,59,1459
3,60,1393
3,61,1222
3,62,1285
3,63,1419
3,64,1194
3,65,1249
3,66,1365
3,67,1277
3,68,1367
3,69,1268
3,70,1405
3,71,1428
4,0,444
4,1,447
4,2,417
4,3,463
4,5,453
4,6,443
4,7,407
4,8,454
4,9,447
4,10,448
4,11,436
4,12,424
4,13,450
4,14,449
4,15,411
4,16,464
4,17,472
4,18,1216
4,19,1389
4,20,1221
4,21,1301
4,22,1401
4,23,1450
4,24,1269
4,25,1270
4,26,1231
4,27,1348
4,28,1281
4,29,1299
4,30,1265
4,31,1374
4,32,1376
4,33,1226
4,34,1424
4,35,1274
4,36,423
4,37,445
4,38,393
4,39,439
4,40,80
4,41,451
4,42,444
4,43,442
4,44,418
4,45,449
4,46,410
4,47,402
4,48,460
4,49,461
4,50,432
4,51,438
4,52,451
4,53,448
4,54,1243
4,55,1404
4,56,1434
4,57,1389
4,58,1337
4,59,1355
4,60,1422
4,61,1456
4,62,1374
4,63,1308
