thread_1_core,thread_2_core,avg_round_time_nano
0,1,366
0,2,369
0,3,360
0,4,355
0,5,359
0,6,352
0,7,350
0,8,369
0,9,371
0,10,348
0,11,374
0,12,1207
0,13,1192
0,14,1203
0,15,1193
0,16,1205
0,17,1191
0,18,1229
0,19,1209
0,20,1211
0,21,1237
0,22,1217
0,23,1242
0,24,65
0,25,351
0,26,369
0,27,353
0,28,354
0,29,355
0,30,356
0,31,352
0,32,365
0,33,372
0,34,353
0,35,371
0,36,1184
0,37,1123
0,38,1124
0,39,1134
0,40,1124
0,41,1124
0,42,1127
0,43,1135
0,44,1124
0,45,1124
0,46,1120
0,47,1129
1,0,364
1,2,384
1,3,364
1,4,361
1,5,368
1,6,361
1,7,372
1,8,385
1,9,395
1,10,382
1,11,402
1,12,1137
1,13,1131
1,14,1133
1,15,1133
1,16,1126
1,17,1133
1,18,1134
1,19,1135
1,20,1134
1,21,1130
1,22,1136
1,23,1135
1,24,373
1,25,65
1,26,384
1,27,363
1,28,361
1,29,383
1,30,367
1,31,380
1,32,395
1,33,396
1,34,364
1,35,401
1,36,1135
1,37,1133
1,38,1136
1,39,1144
1,40,1126
1,41,1133
1,42,1134
1,43,1141
1,44,1130
1,45,1129
1,46,1132
1,47,1135
2,0,374
2,1,381
2,3,385
2,4,382
2,5,394
2,6,380
2,7,387
2,8,407
2,9,397
2,10,370
2,11,401
2,12,1136
2,13,1123
2,14,1133
2,15,1128
2,16,1128
2,17,1124
2,18,1126
2,19,1128
2,20,1128
2,21,1135
2,22,1125
2,23,1137
2,24,373
2,25,381
2,26,64
2,27,361
2,28,380
2,29,395
2,30,378
2,31,390
2,32,407
2,33,407
2,34,390
2,35,400
2,36,1124
2,37,1123
2,38,1128
2,39,1133
2,40,1129
2,41,1130
2,42,1125
2,43,1138
2,44,1124
2,45,1136
2,46,1121
2,47,1138
3,0,369
3,1,368
3,2,386
3,4,359
3,5,369
3,6,363
3,7,370
3,8,378
3,9,385
3,10,363
3,11,377
3,12,1145
3,13,1123
3,14,1131
3,15,1132
3,16,1135
3,17,1137
3,18,1136
3,19,1141
3,20,1136
3,21,1137
3,22,1128
3,23,1139
3,24,362
3,25,364
3,26,386
3,27,64
3,28,359
3,29,368
3,30,358
3,31,370
3,32,374
3,33,373
3,34,347
3,35,378
3,36,1138
3,37,1126
3,38,1130
3,39,1132
3,40,1127
3,41,1133
3,42,1121
3,43,1141
3,44,1133
3,45,1126
3,46,1131
3,47,1142
4,0,357
4,1,371
4,2,387
4,3,366
4,5,372
4,6,361
4,7,369
4,8,383
4,9,386
4,10,362
4,11,391
4,12,1141
4,13,1122
4,14,1131
4,15,1138
4,16,1130
4,17,1122
4,18,1127
4,19,1138
4,20,1127
4,21,1127
4,22,1125
4,23,1140
4,24,348
4,25,370
4,26,387
4,27,370
4,28,65
4,29,370
4,30,361
4,31,369
4,32,383
4,33,386
4,34,370
4,35,390
4,36,1141
4,37,1128
4,38,1133
4,39,1130
4,40,1129
4,41,1125
4,42,1127
4,43,1141
4,44,1130
4,45,1130
4,46,1127
4,47,1137
5,0,355
5,1,355
5,2,383
5,3,355
5,4,354
5,6,354
5,7,368
5,8,382
5,9,385
5,10,359
5,11,389
5,12,1127
5,13,1130
5,14,1130
5,15,1131
5,16,1123
5,17,1129
5,18,1134
5,19,1133
5,20,1129
5,21,1127
5,22,1132
5,23,1133
5,24,355
5,25,373
5,26,382
5,27,356
5,28,355
5,29,65
5,30,362
5,31,380
5,32,392
5,33,395
5,34,358
5,35,386
5,36,1135
5,37,1122
5,38,1130
5,39,1142
5,40,1128
5,41,1122
5,42,1133
5,43,1130
5,44,1123
5,45,1128
5,46,1132
5,47,1133
6,0,356
6,1,350
6,2,378
6,3,355
6,4,337
6,5,349
6,7,344
6,8,366
6,9,363
6,10,335
6,11,380
6,12,1142
6,13,1122
6,14,1128
6,15,1125
6,16,1125
6,17,1129
6,18,1130
6,19,1133
6,20,1129
6,21,1128
6,22,1128
6,23,1138
6,24,352
6,25,352
6,26,377
6,27,358
6,28,336
6,29,344
6,30,64
6,31,346
6,32,365
6,33,362
6,34,340
6,35,367
6,36,1148
6,37,1270
6,38,1254
6,39,1268
6,40,1263
6,41,1237
6,42,1265
6,43,1244
6,44,1264
6,45,1266
6,46,1267
6,47,1271
7,0,371
7,1,361
7,2,368
7,3,369
7,4,363
7,5,358
7,6,367
7,8,365
7,9,364
7,10,360
7,11,365
7,12,1247
7,13,1255
7,14,1256
7,15,1224
7,16,1257
7,17,1251
7,18,1258
7,19,1245
7,20,1234
7,21,1262
7,22,1244
7,23,1228
7,24,369
7,25,361
7,26,366
7,27,363
7,28,360
7,29,359
7,30,364
7,31,65
7,32,366
7,33,365
7,34,358
7,35,362
7,36,1242
7,37,1262
7,38,1257
7,39,1261
7,40,1240
7,41,1244
7,42,1257
7,43,1217
7,44,1248
7,45,1264
7,46,1245
7,47,1231
8,0,367
8,1,357
8,2,364
8,3,364
8,4,353
8,5,351
8,6,364
8,7,363
8,9,358
8,10,359
8,11,358
8,12,1255
8,13,1269
8,14,1240
8,15,1242
8,16,1254
8,17,1246
8,18,1230
8,19,1248
8,20,1250
8,21,1216
8,22,1257
8,23,1248
8,24,368
8,25,361
8,26,373
8,27,363
8,28,368
8,29,357
8,30,364
8,31,367
8,32,65
8,33,376
