thread_1_core,thread_2_core,period_1,period_2
0,1,0.434956,0.435215
0,2,0.435190,0.435230
0,3,0.434957,0.435239
0,4,0.435185,0.435215
0,5,0.434968,0.435223
0,6,0.435229,0.435229
0,7,0.434944,0.435243
0,8,0.435227,0.435227
0,9,0.434945,0.435240
0,10,0.435247,0.435246
0,11,0.435189,0.435214
0,12,0.434969,0.435220
0,13,0.435216,0.435238
0,14,0.434946,0.435243
0,15,0.435184,0.435213
0,16,0.434949,0.435239
0,17,0.435239,0.435245
0,18,0.434923,0.435237
0,19,0.435243,0.435256
0,20,0.434920,0.435231
0,21,0.435214,0.435212
0,22,0.435181,0.435208
0,23,0.434962,0.435258
0,24,0.435222,0.435252
0,25,0.434935,0.435229
0,26,0.435211,0.435234
0,27,0.434972,0.435269
0,28,0.435211,0.435238
0,29,0.434931,0.435227
0,30,0.435250,0.435260
0,31,0.434928,0.435231
0,32,0.435217,0.435221
0,33,0.435186,0.435211
0,34,0.435249,0.435263
0,35,0.435217,0.435235
0,36,0.434947,0.435221
0,37,0.435269,0.435287
0,38,0.434971,0.435280
0,39,0.435246,0.435264
0,40,0.434844,0.434955
0,41,0.434837,0.434960
0,42,0.434841,0.434970
0,43,0.434843,0.434971
0,44,0.434848,0.434971
0,45,0.434838,0.434964
0,46,0.434847,0.434971
0,47,0.434844,0.434971
0,48,0.434844,0.434971
0,49,0.434851,0.434969
0,50,0.434846,0.434971
0,51,0.434851,0.434970
0,52,0.434849,0.434961
0,53,0.434836,0.434961
0,54,0.434847,0.434973
0,55,0.434839,0.434967
0,56,0.434835,0.434968
0,57,0.434846,0.434966
0,58,0.434833,0.434961
0,59,0.434849,0.434962
0,60,0.434826,0.434970
0,61,0.434839,0.434969
0,62,0.434836,0.434964
0,63,0.434845,0.434972
0,64,0.434844,0.434970
0,65,0.434836,0.434969
0,66,0.434841,0.434967
0,67,0.434836,0.434963
0,68,0.434847,0.434971
0,69,0.434835,0.434968
0,70,0.434835,0.434967
0,71,0.434833,0.434970
0,72,0.434842,0.434965
0,73,0.434839,0.434966
0,74,0.434832,0.434963
0,75,0.434845,0.434965
0,76,0.434841,0.434966
0,77,0.434834,0.434952
0,78,0.434839,0.434964
0,79,0.434829,0.434956
0,80,0.437045,0.437229
0,81,0.435212,0.435221
0,82,0.435210,0.435237
0,83,0.435244,0.435248
0,84,0.435207,0.435227
0,85,0.434937,0.435227
0,86,0.435219,0.435240
0,87,0.434939,0.435254
0,88,0.435195,0.435218
0,89,0.434927,0.435228
0,90,0.435238,0.435238
0,91,0.434906,0.435210
0,92,0.435215,0.435215
0,93,0.435182,0.435236
0,94,0.434973,0.435248
0,95,0.435183,0.435205
0,96,0.434929,0.435225
0,97,0.435211,0.435232
0,98,0.434947,0.435225
0,99,0.435243,0.435243
0,100,0.434958,0.435270
0,101,0.435225,0.435226
0,102,0.434928,0.435255
0,103,0.435239,0.435241
0,104,0.435250,0.435275
0,105,0.435264,0.435263
0,106,0.435226,0.435269
0,107,0.435244,0.435243
0,108,0.435210,0.435245
0,109,0.434947,0.435238
0,110,0.435218,0.435242
0,111,0.434956,0.435241
0,112,0.435229,0.435237
0,113,0.434967,0.435249
0,114,0.435239,0.435238
0,115,0.434940,0.435238
0,116,0.435217,0.435239
0,117,0.434932,0.435229
0,118,0.435228,0.435229
0,119,0.435233,0.435263
0,120,0.434838,0.434968
0,121,0.434832,0.434959
0,122,0.434844,0.434960
0,123,0.434839,0.434965
0,124,0.434834,0.434965
0,125,0.434841,0.434966
0,126,0.434846,0.434970
0,127,0.434844,0.434974
0,128,0.434847,0.434973
0,129,0.434848,0.434968
0,130,0.434851,0.434970
0,131,0.434840,0.434961
0,132,0.434832,0.434962
0,133,0.434844,0.434966
0,134,0.434845,0.434970
0,135,0.434830,0.434965
0,136,0.434840,0.434968
0,137,0.434834,0.434966
0,138,0.434843,0.434966
0,139,0.434840,0.434972
0,140,0.434841,0.434971
0,141,0.434843,0.434969
0,142,0.434845,0.434959
0,143,0.434841,0.434973
0,144,0.434837,0.434972
0,145,0.434845,0.434974
0,146,0.434844,0.434974
0,147,0.434848,0.434972
0,148,0.434848,0.434970
0,149,0.434840,0.434974
0,150,0.434836,0.434968
0,151,0.434839,0.434969
0,152,0.434837,0.434973
0,153,0.434843,0.434972
0,154,0.434842,0.434965
0,155,0.434832,0.434965
0,156,0.434833,0.434972
0,157,0.434838,0.434962
0,158,0.434834,0.434962
0,159,0.434835,0.434960
